dataset_variant,method,method_label,runtime_axis,runtime_value,n_runs,ari_mean,ari_sd,nmi_mean,nmi_sd,final_K_mean,final_K_sd,selected_dims_count_mean,selected_dims_count_sd,wallclock_total_sec_mean,wallclock_total_sec_sd,peak_memory_mb_mean,peak_memory_mb_sd,split_count_mean,split_count_sd
synthetic_n1000_d100_noise3.0,divi,DIVI-Info,D,100,20,0.8746756865565141,0.005529628756575812,0.9074422702852786,0.0025882100881314688,4.0,0.0,10.0,0.0,2.957485387849374,1.4419582418034667,474.3611328125,11.432324162310387,3.0,0.0
synthetic_n500_d100_noise3.0,divi,DIVI-Info,D,100,2,0.8685465633497811,0.003995473440026801,0.8972010470846036,0.0018135694430168338,4.0,0.0,13.5,2.1213203435596424,2.1517591404990526,0.66372463252608,456.51171875,1.762242681238349,3.0,0.0
synthetic_n1000_d500_noise3.0,divi,DIVI-Info,D,500,20,0.867302771353202,0.0037275245033262967,0.8963548670894632,0.0024901968820783193,4.0,0.0,15.0,0.6488856845230502,11.71491356969982,0.6101217994218496,553.7357421875,38.275427236470414,3.0,0.0
synthetic_n500_d500_noise3.0,divi,DIVI-Info,D,500,2,0.8649148856931749,0.00555547934652603,0.8931041429058979,0.006082185143705355,4.0,0.0,49.5,0.7071067811865476,6.8178443529996,0.4076825108571604,510.64453125,33.58757210636101,3.0,0.0
synthetic_n1000_d1000_noise3.0,divi,DIVI-Info,D,1000,19,0.8609539150162796,0.008448821407400265,0.8856336404745749,0.010366158910829332,4.0,0.0,39.05263157894737,1.4709665835968126,21.424624832157285,1.25303723832634,740.6221217105264,94.87309839175656,3.0,0.0
synthetic_n1000_d2000_noise3.0,divi,DIVI-Info,D,2000,15,0.6143914425454197,0.18734264636352058,0.6711173448952017,0.15167653670457099,4.0,0.0,68.6,2.823371844342961,39.99246843759999,2.8374083216526222,1001.73984375,110.70064987324645,3.0,0.0
synthetic_n1000_d5000_noise3.0,divi,DIVI-Info,D,5000,15,0.022540553897098803,0.01759778076788655,0.02345054525244444,0.015117409207477952,4.0,0.0,2338.6,5.0539941771689,164.09790764819985,13.459417058022073,936.4721354166667,115.29205547803363,3.0,0.0
synthetic_n1000_d100_noise3.0,gmm_oracle,GMM,D,100,20,0.9988006018129202,0.0015071178547690907,0.9975211795618598,0.0031147908854050185,3.0,0.0,,0.0,0.12371950000000001,0.09150874109153669,474.7625,11.133479795906183,0.0,0.0
synthetic_n500_d100_noise3.0,gmm_oracle,GMM,D,100,2,0.9586059755872657,0.024880891332964884,0.9327685638119423,0.03574365760542168,3.0,0.0,,0.0,0.1778225,0.20610960590059846,457.390625,0.5192815424338708,0.0,0.0
synthetic_n1000_d500_noise3.0,gmm_oracle,GMM,D,500,20,0.6167212736531604,0.16982371616519307,0.6188149095609303,0.12668295330145576,3.0,0.0,,0.0,1.0907866,0.33207325431968043,554.620703125,37.0925477105328,0.0,0.0
synthetic_n500_d500_noise3.0,gmm_oracle,GMM,D,500,2,0.46400262038657814,0.0677462163525108,0.48331821725989277,0.045802773248868875,3.0,0.0,,0.0,0.7066585,0.049066846653315704,514.892578125,27.579926602139363,0.0,0.0
synthetic_n1000_d1000_noise3.0,gmm_oracle,GMM,D,1000,19,0.4055386623089744,0.03201543536106061,0.45994792624218445,0.02145922834094553,3.0,0.0,,0.0,2.823995105263158,0.6626987955158894,736.1227384868421,90.31434202097087,0.0,0.0
synthetic_n1000_d2000_noise3.0,gmm_oracle,GMM,D,2000,15,0.3710127425118254,0.027315337529196897,0.40047423769104645,0.024964249505866565,3.0,0.0,,0.0,12.094835466666666,1.4602108437600896,991.5263020833333,116.87095138698676,0.0,0.0
synthetic_n1000_d5000_noise3.0,gmm_oracle,GMM,D,5000,15,0.0037774335608829405,0.0034400452402200393,0.00634858634486224,0.0033125978193838386,3.0,0.0,,0.0,103.53450046666669,2.6521018980276194,939.3010416666667,117.45501366759032,0.0,0.0
synthetic_n1000_d100_noise3.0,kmeans_oracle,KMeans,D,100,20,1.0,0.0,1.0,0.0,3.0,0.0,,0.0,0.045347,0.009100465257047951,474.4158203125,11.385143514582651,0.0,0.0
synthetic_n500_d100_noise3.0,kmeans_oracle,KMeans,D,100,2,0.9703441552305504,0.0,0.9494674866996587,0.0,3.0,0.0,,0.0,0.0354115,0.011236633859835426,456.740234375,1.4390727851491847,0.0,0.0
synthetic_n1000_d500_noise3.0,kmeans_oracle,KMeans,D,500,20,0.8083876697860081,0.06226444587573361,0.7712095804327245,0.057527987228479266,3.0,0.0,,0.0,0.3428482,0.14257853807476373,552.5982421875,39.44441583449364,0.0,0.0
synthetic_n500_d500_noise3.0,kmeans_oracle,KMeans,D,500,2,0.5006754906872307,0.018061706189689223,0.5062051420064988,0.0011859787953229129,3.0,0.0,,0.0,0.09585350000000001,0.005226226219749769,510.64453125,33.58757210636101,0.0,0.0
synthetic_n1000_d1000_noise3.0,kmeans_oracle,KMeans,D,1000,19,0.43515032567143036,0.016079445858364204,0.46650111338013656,0.019717502962206434,3.0,0.0,,0.0,0.42574657894736845,0.08012374770476795,740.6221217105264,94.87309839175656,0.0,0.0
synthetic_n1000_d2000_noise3.0,kmeans_oracle,KMeans,D,2000,15,0.3579933327616268,0.013993868422476857,0.3960705327487278,0.017863272242397938,3.0,0.0,,0.0,1.2834076,0.45751495316777824,988.5520833333334,117.79690614076725,0.0,0.0
synthetic_n1000_d5000_noise3.0,kmeans_oracle,KMeans,D,5000,15,0.008054588604133639,0.00789415796162874,0.00839921136767758,0.006230029879648585,3.0,0.0,,0.0,1.0485547333333334,0.39928240730992587,936.4721354166667,115.29205547803363,0.0,0.0
synthetic_n1000_d100_noise3.0,spkm,SPKM,D,100,20,1.0,0.0,1.0,0.0,3.0,0.0,95.0,0.0,0.12267850000000002,0.02327798975653317,474.8484375,11.085079644978007,0.0,0.0
synthetic_n500_d100_noise3.0,spkm,SPKM,D,100,2,1.0,0.0,1.0,0.0,3.0,0.0,95.0,0.0,0.1202065,0.051903759059436144,457.61328125,0.2099223256647563,0.0,0.0
synthetic_n1000_d500_noise3.0,spkm,SPKM,D,500,20,0.994003000015024,0.0,0.9876059147486773,1.1390647892519134e-16,3.0,0.0,448.0,0.0,0.54085455,0.1669706745198957,554.621875,37.092102316750875,0.0,0.0
synthetic_n500_d500_noise3.0,spkm,SPKM,D,500,2,0.9939819401820036,0.0,0.9888622336804004,0.0,3.0,0.0,469.0,0.0,0.21008,0.007990306627407991,514.8984375,27.577164466275352,0.0,0.0
