dataset_variant,method,method_label,runtime_axis,runtime_value,n_runs,ari_mean,ari_sd,nmi_mean,nmi_sd,final_K_mean,final_K_sd,selected_dims_count_mean,selected_dims_count_sd,wallclock_total_sec_mean,wallclock_total_sec_sd,peak_memory_mb_mean,peak_memory_mb_sd,split_count_mean,split_count_sd
synthetic_n200_d1000_noise3.0,divi,DIVI-Info,N,200,15,0.29266209282803646,0.02614923990047393,0.40349585678647365,0.023483831302458437,4.0,0.0,354.6,3.850788416489723,4.957824657266428,0.39167766463539133,857.6036458333333,118.26719763860805,3.0,0.0
synthetic_n200_d500_noise3.0,divi,DIVI-Info,N,200,2,0.5616738074188453,0.3452054092159507,0.6275044975036004,0.2781848268426939,4.0,0.0,66.0,1.4142135623730951,2.5012355364997347,0.03205135787478194,532.552734375,0.06905339660024878,3.0,0.0
synthetic_n500_d1000_noise3.0,divi,DIVI-Info,N,500,15,0.6995475097045218,0.03398771824873676,0.7364945502462376,0.030135081993996726,4.0,0.0,73.2,2.808151400069855,10.539852674199938,0.2909978484544016,799.378125,72.4243394984188,3.0,0.0
synthetic_n500_d500_noise3.0,divi,DIVI-Info,N,500,2,0.8639539130534788,0.0015682574498188894,0.8955992730732277,0.0007420325714890604,4.0,0.0,44.0,1.4142135623730951,6.257528562498919,0.8003984837343359,508.740234375,5.974499873853524,3.0,0.0
synthetic_n1000_d1000_noise3.0,divi,DIVI-Info,N,1000,15,0.8670404537962494,0.009139268362137142,0.8815840436270244,0.01770644635121073,4.0,0.0,28.0,1.4638501094227998,20.198934161266514,0.5679402358127615,861.08828125,65.68729006925706,3.0,0.0
synthetic_n2000_d1000_noise3.0,divi,DIVI-Info,N,2000,15,0.8687791130773295,0.0029542794835642275,0.8996395854948414,0.0019829204607897245,4.0,0.0,10.8,1.0141851056742197,41.51458377146628,2.0680228281145006,1088.5106770833333,99.31834307559166,3.0,0.0
synthetic_n5000_d1000_noise3.0,divi,DIVI-Info,N,5000,15,0.8813076028086377,0.024937877992394896,0.9001093945023331,0.007651214488777849,4.0,0.0,10.0,0.0,173.60076392166738,9.286491189466311,1029.5950520833333,152.36919353596303,3.0,0.0
synthetic_n200_d1000_noise3.0,gmm_oracle,GMM,N,200,15,0.03804236502721465,0.04025764840511713,0.04899183920591235,0.03758839479197971,3.0,0.0,,0.0,1.7109608,0.5558813265019792,855.58671875,122.99687075826779,0.0,0.0
synthetic_n200_d500_noise3.0,gmm_oracle,GMM,N,200,2,0.3343971012064505,0.0319996306446536,0.3719022045260091,0.06207995783599859,3.0,0.0,,0.0,0.41928750000000004,0.04333503908501755,532.59375,0.011048543456039806,0.0,0.0
synthetic_n500_d1000_noise3.0,gmm_oracle,GMM,N,500,15,0.36633860711649624,0.030454134266737858,0.3913668623731484,0.033537542873991605,3.0,0.0,,0.0,1.9308748666666666,0.15430650584000793,799.378125,72.4243394984188,0.0,0.0
