dataset,dataset_variant,dataset_label,sensitivity_factor,factor_label,sensitivity_value,n_runs,ari_mean,ari_sd,nmi_mean,nmi_sd,f1_feature_mean,f1_feature_sd,final_K_mean,final_K_sd,selected_dims_count_mean,selected_dims_count_sd,wallclock_total_sec_mean,wallclock_total_sec_sd,split_count_mean,split_count_sd
synthetic,synthetic_n1000_d100_fixedseed3102,synthetic_n1000_d100_fixedseed3102,beta_mult,$\beta/N$ multiplier,0.25,10,0.8759419011697155,0.008352637590961005,0.9079565886777855,0.00399241583415339,0.5186294866012453,0.01678581781543369,4.0,0.0,28.6,1.2649110640673515,2.457989883099981,0.2891402523673418,3.0,0.0
synthetic,synthetic_n1000_d100_fixedseed3102,synthetic_n1000_d100_fixedseed3102,beta_mult,$\beta/N$ multiplier,0.5,10,0.8770836745810369,0.01006273744624777,0.908523567873738,0.004871893872324344,0.8275027870680045,0.03094243237943767,4.0,0.0,14.2,0.9189365834726815,2.5864140144001793,0.27214715650591204,3.0,0.0
synthetic,synthetic_n1000_d100_fixedseed3102,synthetic_n1000_d100_fixedseed3102,beta_mult,$\beta/N$ multiplier,1.0,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,4.0,0.0,10.0,0.0,2.530294092400072,0.19567017140585474,3.0,0.0
synthetic,synthetic_n1000_d100_fixedseed3102,synthetic_n1000_d100_fixedseed3102,beta_mult,$\beta/N$ multiplier,2.0,10,0.879787500174283,0.011979474273957975,0.9098440092335703,0.005805053956232906,1.0,0.0,4.0,0.0,10.0,0.0,2.5052955641000154,0.24370154008629763,3.0,0.0
synthetic,synthetic_n1000_d100_fixedseed3102,synthetic_n1000_d100_fixedseed3102,beta_mult,$\beta/N$ multiplier,4.0,10,0.8801932169765723,0.011862782731542634,0.9100347573915257,0.005748169751737389,1.0,0.0,4.0,0.0,10.0,0.0,2.5257833223999113,0.23385655606370487,3.0,0.0
synthetic,synthetic_n200_d100_fixedseed3101,synthetic_n200_d100_fixedseed3101,beta_mult,$\beta/N$ multiplier,0.25,10,0.8679303649476934,0.01158623383256921,0.896596406211799,0.017707469815845533,0.2454836300242314,0.004860999663122114,4.0,0.0,71.5,1.5811388300841898,1.1950547209000433,0.4325627326439747,3.0,0.0
synthetic,synthetic_n200_d100_fixedseed3101,synthetic_n200_d100_fixedseed3101,beta_mult,$\beta/N$ multiplier,0.5,10,0.8718976139611494,0.007998956198330817,0.9032599237219046,0.009366849725721783,0.33912147405333903,0.007276329645047512,4.0,0.0,49.0,1.247219128924647,1.0264819527999862,0.1545735201609659,3.0,0.0
synthetic,synthetic_n200_d100_fixedseed3101,synthetic_n200_d100_fixedseed3101,beta_mult,$\beta/N$ multiplier,1.0,10,0.8730117347496018,0.0024075927062518917,0.9067139402421682,0.0011143003642995065,0.5558205264087617,0.012987877120001878,4.0,0.0,26.0,0.816496580927726,0.9776972125999237,0.08947261663984914,3.0,0.0
synthetic,synthetic_n200_d100_fixedseed3101,synthetic_n200_d100_fixedseed3101,beta_mult,$\beta/N$ multiplier,2.0,10,0.8729375435811951,0.0024059640657209677,0.9066797585077694,0.0011172028596698833,0.7301587301587301,0.013661316917839185,4.0,0.0,17.4,0.5163977794943222,0.884539207799753,0.14031307054054784,3.0,0.0
synthetic,synthetic_n200_d100_fixedseed3101,synthetic_n200_d100_fixedseed3101,beta_mult,$\beta/N$ multiplier,4.0,10,0.8733811566840239,0.003294735176575727,0.9068889018067943,0.0015348310949803922,0.7784615384615385,0.014862950508912245,4.0,0.0,15.7,0.483045891539648,0.9967639500000587,0.1682439206030787,3.0,0.0
