experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,runtime_axis,runtime_value,baseline_timeout_sec,baseline_converged_flag,source_runs_csv,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed0__divi,run_divi_runtime_real.py,2026-03-25T09:19:00Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,0,divi,1.0,divi,2000.0,1.0,80.0,auto_entropy,544.8723967505944,1.0,0.01,1.0,0.1,300.0,300.0,4,3,80.0,240.0,"[80, 160, 240]",0.8094396532839916,0.7800561978561804,,0.9255,353.0,0.9192708333333334,0.7334172129631042,0.7710463404655457,1206434.75,1105155.25,101279.5,1184174.5,11.13012409210205,15.614224048000324,1.1415073680000205,14.425180926999928,0.042323712000325,0.0449573360001522,0.048083936423333,1147.2734375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed0__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:19:01Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,0,kmeans_oracle,,kmeans_oracle,,,,,,,,,,,,4,0,,,[],0.844402778092528,0.8020908544967006,,0.939,,,,,,,,,,0.405856,,0.405856,,,,1147.453125,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed0__gmm_oracle,run_divi_runtime_real.py,2026-03-25T09:19:02Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,0,gmm_oracle,,gmm_oracle,,,,,,,,,,,,4,0,,,[],0.8434601563692999,0.8022758616966952,,0.9385,,,,,,,,,,1.331898,,1.331898,,,,1153.109375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed0__spkm,run_divi_runtime_real.py,2026-03-25T09:19:10Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,0,spkm,,spkm,,,,,,,,,,,,4,0,,,[],0.5139629644456103,0.5151563566882862,,0.7755,30.0,0.078125,,,,,,,,8.110535,,8.110535,,,,1153.109375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed1__divi,run_divi_runtime_real.py,2026-03-25T09:19:26Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,1,divi,1.0,divi,2000.0,1.0,80.0,auto_entropy,544.8723967505944,1.0,0.01,1.0,0.1,300.0,300.0,4,3,80.0,240.0,"[80, 160, 240]",0.5226676114821452,0.6206571817307148,,0.6645,351.0,0.9140625,0.7320777773857117,0.7718565464019775,1210556.625,1115297.25,95259.375,1188917.5,10.81954574584961,15.983461801000884,1.087728333999621,14.84342330600066,0.0446485660004327,0.0500126840015582,0.0494780776866688,1153.109375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed1__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:19:27Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,1,kmeans_oracle,,kmeans_oracle,,,,,,,,,,,,4,0,,,[],0.8445932629572291,0.8021979143114102,,0.939,,,,,,,,,,0.409828,,0.409828,,,,1153.109375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed1__gmm_oracle,run_divi_runtime_real.py,2026-03-25T09:19:28Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,1,gmm_oracle,,gmm_oracle,,,,,,,,,,,,4,0,,,[],0.8311467646385914,0.7919380276263053,,0.9335,,,,,,,,,,1.435031,,1.435031,,,,1153.109375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed1__spkm,run_divi_runtime_real.py,2026-03-25T09:19:37Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,1,spkm,,spkm,,,,,,,,,,,,4,0,,,[],0.5139629644456103,0.5151563566882862,,0.7755,30.0,0.078125,,,,,,,,8.692425,,8.692425,,,,1153.109375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed2__divi,run_divi_runtime_real.py,2026-03-25T09:19:53Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,2,divi,1.0,divi,2000.0,1.0,80.0,auto_entropy,544.8723967505944,1.0,0.01,1.0,0.1,300.0,300.0,4,3,80.0,240.0,"[80, 160, 240]",0.803066610059557,0.7783243197545773,,0.921,352.0,0.9166666666666666,0.7322610020637512,0.7735626101493835,1208564.75,1114567.875,93996.875,1186538.0,11.01340103149414,15.761768732998462,1.185729517001164,14.527441005000584,0.0477984639983333,0.0463713179997284,0.0484248033500019,1153.109375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed2__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:19:53Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,,,,,2,kmeans_oracle,,kmeans_oracle,,,,,,,,,,,,4,0,,,[],0.8481849185503184,0.8060240675720713,,0.9405,,,,,,,,,,0.418497,,0.418497,,,,1153.109375,ok,False,,,dataset,20ng,,True,outputs_revision/runtime_real/20ng/runs.csv,,,,
