dataset,dataset_variant,method,sensitivity_factor,sensitivity_value,n_runs,ari_mean,ari_sd,nmi_mean,nmi_sd,f1_feature_mean,f1_feature_sd,acc_mean,acc_sd,final_K_mean,final_K_sd,selected_dims_count_mean,selected_dims_count_sd,wallclock_total_sec_mean,wallclock_total_sec_sd,split_count_mean,split_count_sd,dataset_label,method_label,factor_label
synthetic,synthetic_n1000_d100_fixedseed3102,divi,Tsplit,10.0,10,0.41440054359769957,0.09640855648319328,0.6181782026688987,0.04833792427404575,1.0,0.0,0.4849,0.08946563586092707,31.0,0.0,10.0,0.0,15.21231259940014,2.7867201123577647,30.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$T_{\mathrm{split}}$
synthetic,synthetic_n1000_d100_fixedseed3102,divi,Tsplit,20.0,10,0.4934148488286862,0.10514876653062614,0.6648590957238751,0.04543816869150078,1.0,0.0,0.5664,0.11515998533441302,16.0,0.0,10.0,0.0,6.769985247999648,0.22660755864762736,15.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$T_{\mathrm{split}}$
synthetic,synthetic_n1000_d100_fixedseed3102,divi,Tsplit,40.0,10,0.6781282079061733,0.1025358998240706,0.7716010561318672,0.038614502073580734,1.0,0.0,0.7108999999999999,0.1180625540409264,8.0,0.0,10.0,0.0,3.6774849991998053,0.24644382483967706,7.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$T_{\mathrm{split}}$
synthetic,synthetic_n1000_d100_fixedseed3102,divi,Tsplit,80.0,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,0.8684,0.027757681619488512,4.0,0.0,10.0,0.0,2.4327723086000335,0.3129585945359821,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$T_{\mathrm{split}}$
synthetic,synthetic_n1000_d100_fixedseed3102,divi,beta_mult,0.25,10,0.8759419011697155,0.008352637590961005,0.9079565886777855,0.00399241583415339,0.5186294866012453,0.01678581781543369,0.8619,0.02364764493794492,4.0,0.0,28.6,1.2649110640673515,2.457989883099981,0.2891402523673418,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n1000_d100_fixedseed3102,divi,beta_mult,0.5,10,0.8770836745810369,0.01006273744624777,0.908523567873738,0.004871893872324344,0.8275027870680045,0.03094243237943767,0.8647,0.025206039840570862,4.0,0.0,14.2,0.9189365834726815,2.5864140144001793,0.27214715650591204,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n1000_d100_fixedseed3102,divi,beta_mult,1.0,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,0.8684,0.027757681619488512,4.0,0.0,10.0,0.0,2.530294092400072,0.19567017140585474,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n1000_d100_fixedseed3102,divi,beta_mult,2.0,10,0.879787500174283,0.011979474273957975,0.9098440092335703,0.005805053956232906,1.0,0.0,0.8711,0.027642358799494688,4.0,0.0,10.0,0.0,2.5052955641000154,0.24370154008629763,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n1000_d100_fixedseed3102,divi,beta_mult,4.0,10,0.8801932169765723,0.011862782731542634,0.9100347573915257,0.005748169751737389,1.0,0.0,0.8724999999999999,0.027150813370259607,4.0,0.0,10.0,0.0,2.5257833223999113,0.23385655606370487,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n1000_d100_fixedseed3102,divi,lr,0.005,10,0.9007383412679928,0.027148741314592932,0.9147483166256055,0.020679170726293366,1.0,0.0,0.9141,0.035075949341710225,4.0,0.0,10.0,0.0,2.3429130381991854,0.1690214418706116,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,Learning rate
synthetic,synthetic_n1000_d100_fixedseed3102,divi,lr,0.01,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,0.8684,0.027757681619488512,4.0,0.0,10.0,0.0,2.5820633088995235,0.25613891599125815,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,Learning rate
synthetic,synthetic_n1000_d100_fixedseed3102,divi,lr,0.02,10,0.8757410274093098,0.008416791208489304,0.9078639043044449,0.004037265727481173,0.9952380952380953,0.015058465048420837,0.8615999999999999,0.02307572076640056,4.0,0.0,10.1,0.31622776601683794,2.7958820394000212,0.32619278297405896,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,Learning rate
synthetic,synthetic_n1000_d100_fixedseed3102,divi,lr,0.05,10,0.8774154626357106,0.008915682488428589,0.9086597129505366,0.004332775192547173,0.9904761904761905,0.020077953397894446,0.867,0.023323807579381222,4.0,0.0,10.2,0.4216370213557839,2.9978184959996725,0.2068533449100588,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,Learning rate
synthetic,synthetic_n1000_d100_fixedseed3102,divi,tau_mult,0.9,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,0.8684,0.027757681619488512,4.0,0.0,10.0,0.0,2.5744808567003927,0.20047364550397592,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\tau/\tau_0$
synthetic,synthetic_n1000_d100_fixedseed3102,divi,tau_mult,1.0,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,0.8684,0.027757681619488512,4.0,0.0,10.0,0.0,2.5394244316998082,0.14179795834762038,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\tau/\tau_0$
synthetic,synthetic_n1000_d100_fixedseed3102,divi,tau_mult,1.1,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,0.8684,0.027757681619488512,4.0,0.0,10.0,0.0,2.7351251001002312,0.22559043245726873,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\tau/\tau_0$
synthetic,synthetic_n1000_d100_fixedseed3102,divi,tau_mult,1.2,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,0.8684,0.027757681619488512,4.0,0.0,10.0,0.0,2.6655624536999314,0.18138873319494647,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,$\tau/\tau_0$
synthetic,synthetic_n1000_d100_fixedseed3102,divi,temp_end,0.01,10,0.879422642300535,0.011533591315462513,0.909659521333712,0.005564409054898952,1.0,0.0,0.8693,0.02875973265213402,4.0,0.0,10.0,0.0,2.8027264976997683,0.20512236878958648,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,Final temperature
synthetic,synthetic_n1000_d100_fixedseed3102,divi,temp_end,0.05,10,0.8792846922656322,0.011865722794325259,0.9096020320118718,0.005745385019903629,1.0,0.0,0.8690999999999999,0.028497368299546563,4.0,0.0,10.0,0.0,2.6123307335998107,0.23134368434713512,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,Final temperature
synthetic,synthetic_n1000_d100_fixedseed3102,divi,temp_end,0.1,10,0.8788609138355623,0.011870540364334133,0.909402763413351,0.005799132241442473,1.0,0.0,0.8684,0.027757681619488512,4.0,0.0,10.0,0.0,2.5524360048002563,0.21482979324830526,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,Final temperature
synthetic,synthetic_n1000_d100_fixedseed3102,divi,temp_end,0.2,10,0.8795803725821573,0.013319433177337336,0.9097840397937282,0.006609902098713025,1.0,0.0,0.8695999999999999,0.029018002075340162,4.0,0.0,10.0,0.0,2.5223837303001346,0.13724676446134337,3.0,0.0,synthetic_n1000_d100_fixedseed3102,DIVI-Info,Final temperature
synthetic,synthetic_n200_d100_fixedseed3101,divi,Tsplit,10.0,10,0.18656341291792983,0.021894201244682134,0.5139503341501311,0.014278764554197776,0.5925239792886852,0.023064498095505606,0.2515,0.03274904578762563,31.0,0.0,23.8,1.3165611772087664,3.517972214299698,0.5059605072480174,30.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$T_{\mathrm{split}}$
synthetic,synthetic_n200_d100_fixedseed3101,divi,Tsplit,20.0,10,0.2870388335072378,0.03073300455090114,0.5825401251725258,0.011359438408382794,0.596384008148714,0.028456766070178746,0.33449999999999996,0.04815772696740021,16.0,0.0,23.6,1.5055453054181622,1.8855567534999864,0.19214982379517712,15.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$T_{\mathrm{split}}$
synthetic,synthetic_n200_d100_fixedseed3101,divi,Tsplit,40.0,10,0.5073291162144918,0.024133534098222845,0.7073131249364428,0.011255832251850603,0.572349769253794,0.024064274766281108,0.5365,0.048307464341560205,8.0,0.0,25.0,1.4907119849998598,1.3148380746997645,0.14054738848740914,7.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$T_{\mathrm{split}}$
synthetic,synthetic_n200_d100_fixedseed3101,divi,Tsplit,80.0,10,0.8730117347496018,0.0024075927062518917,0.9067139402421682,0.0011143003642995065,0.5558205264087617,0.012987877120001878,0.8525,0.012304019216861178,4.0,0.0,26.0,0.816496580927726,0.8693150384002365,0.06984592249757902,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$T_{\mathrm{split}}$
synthetic,synthetic_n200_d100_fixedseed3101,divi,beta_mult,0.25,10,0.8679303649476934,0.01158623383256921,0.896596406211799,0.017707469815845533,0.2454836300242314,0.004860999663122114,0.858,0.01512907429054697,4.0,0.0,71.5,1.5811388300841898,1.1950547209000433,0.4325627326439747,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n200_d100_fixedseed3101,divi,beta_mult,0.5,10,0.8718976139611494,0.007998956198330817,0.9032599237219046,0.009366849725721783,0.33912147405333903,0.007276329645047512,0.8554999999999999,0.016906606203887693,4.0,0.0,49.0,1.247219128924647,1.0264819527999862,0.1545735201609659,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n200_d100_fixedseed3101,divi,beta_mult,1.0,10,0.8730117347496018,0.0024075927062518917,0.9067139402421682,0.0011143003642995065,0.5558205264087617,0.012987877120001878,0.8525,0.012304019216861178,4.0,0.0,26.0,0.816496580927726,0.9776972125999237,0.08947261663984914,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n200_d100_fixedseed3101,divi,beta_mult,2.0,10,0.8729375435811951,0.0024059640657209677,0.9066797585077694,0.0011172028596698833,0.7301587301587301,0.013661316917839185,0.8525,0.011606990230986776,4.0,0.0,17.4,0.5163977794943222,0.884539207799753,0.14031307054054784,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n200_d100_fixedseed3101,divi,beta_mult,4.0,10,0.8733811566840239,0.003294735176575727,0.9068889018067943,0.0015348310949803922,0.7784615384615385,0.014862950508912245,0.8535,0.013954290459289665,4.0,0.0,15.7,0.483045891539648,0.9967639500000587,0.1682439206030787,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$\beta/N$ multiplier
synthetic,synthetic_n200_d100_fixedseed3101,divi,lr,0.005,10,0.864698211275682,0.019481717382959646,0.8884663490666554,0.023173036555341253,0.6331867057673509,0.013827779073447684,0.8709999999999999,0.02503331114069147,4.0,0.0,21.6,0.6992058987801011,0.9814048781008751,0.49321520496407695,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,Learning rate
synthetic,synthetic_n200_d100_fixedseed3101,divi,lr,0.01,10,0.8730117347496018,0.0024075927062518917,0.9067139402421682,0.0011143003642995065,0.5558205264087617,0.012987877120001878,0.8525,0.012304019216861178,4.0,0.0,26.0,0.816496580927726,0.9370493139998871,0.17201047200467764,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,Learning rate
synthetic,synthetic_n200_d100_fixedseed3101,divi,lr,0.02,10,0.8742966851946863,0.0027278137673417257,0.9073094798407085,0.0012735355294923793,0.5254045543519228,0.016634087368812115,0.8594999999999999,0.010658851303546331,4.0,0.0,28.1,1.1972189997378646,0.95102770529993,0.14834392179123387,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,Learning rate
synthetic,synthetic_n200_d100_fixedseed3101,divi,lr,0.05,10,0.8750766138378966,0.0035218067264225776,0.9062223661013122,0.0037369270664336083,0.50491481452744,0.03780770524770262,0.8639999999999999,0.015776212754932323,4.0,0.0,29.8,2.820559440174157,0.9907614888990792,0.13042559108476978,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,Learning rate
synthetic,synthetic_n200_d100_fixedseed3101,divi,tau_mult,0.9,10,0.8730117347496018,0.0024075927062518917,0.9067139402421682,0.0011143003642995065,0.5558205264087617,0.012987877120001878,0.8525,0.012304019216861178,4.0,0.0,26.0,0.816496580927726,1.1494371801998569,0.5633867374305078,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$\tau/\tau_0$
synthetic,synthetic_n200_d100_fixedseed3101,divi,tau_mult,1.0,10,0.8730117347496018,0.0024075927062518917,0.9067139402421682,0.0011143003642995065,0.5558205264087617,0.012987877120001878,0.8525,0.012304019216861178,4.0,0.0,26.0,0.816496580927726,0.9885507171999052,0.17853854380347547,3.0,0.0,synthetic_n200_d100_fixedseed3101,DIVI-Info,$\tau/\tau_0$
