setting,variant,seed,n,d,d_info,k_true,status,error,ARI,NMI,runtime_sec,final_K,correct_K,over_split,under_split,split_proposals,accepted_splits,rejected_splits,active_dims,feature_f1_thresh,feature_f1_topd
correlated_noise,Fixed-K,1,200,100,10,3,ok,,1.0,1.0,1.047520052998152,3,1,0,0,0,0,0,46,0.35714285714285715,1.0
correlated_noise,Full-DIVI,1,200,100,10,3,ok,,0.9124416685824278,0.8883385831180325,0.9932450719970802,3,1,0,0,2,2,0,37,0.425531914893617,1.0
correlated_noise,No-Gating,1,200,100,10,3,ok,,0.45220032606286126,0.5252799795677509,0.5613624170000548,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,1,200,100,10,3,ok,,0.5937225078030778,0.6095263810487931,0.9301426290003292,3,1,0,0,2,2,0,100,0.18181818181818182,0.5
correlated_noise,No-StepA-FixedK,1,200,100,10,3,ok,,0.9553484166355675,0.9353746200411693,0.9287591669999529,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,1,200,100,10,3,ok,,0.6800319968632936,0.775312299539906,1.0134509649979009,6,0,1,0,4,4,0,38,0.4166666666666667,1.0
correlated_noise,Fixed-K,2,200,100,10,3,ok,,1.0,1.0,1.0767916139993758,3,1,0,0,0,0,0,46,0.35714285714285715,1.0
correlated_noise,Full-DIVI,2,200,100,10,3,ok,,0.9418302090668691,0.9207171631302861,1.0127861449982447,3,1,0,0,2,2,0,44,0.37037037037037035,1.0
correlated_noise,No-Gating,2,200,100,10,3,ok,,0.4707945050386722,0.545757522883591,0.5485840830006055,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,2,200,100,10,3,ok,,0.5436048572572952,0.6088548616799752,0.9011206989998755,3,1,0,0,2,2,0,100,0.18181818181818182,0.4
correlated_noise,No-StepA-FixedK,2,200,100,10,3,ok,,0.9851149892064401,0.9763780799682114,1.2685904359968845,3,1,0,0,0,0,0,100,0.18181818181818182,0.8
correlated_noise,Unsafe-Split,2,200,100,10,3,ok,,0.6990110354500757,0.7962425186920581,1.4148048419992847,6,0,1,0,4,4,0,39,0.40816326530612246,1.0
correlated_noise,Fixed-K,3,200,100,10,3,ok,,1.0,1.0,1.077763765999407,3,1,0,0,0,0,0,48,0.3448275862068966,1.0
correlated_noise,Full-DIVI,3,200,100,10,3,ok,,0.9127857289988182,0.8798845326667493,1.4034323790001508,3,1,0,0,2,2,0,48,0.3448275862068966,1.0
correlated_noise,No-Gating,3,200,100,10,3,ok,,0.4865039552133428,0.5646827759269512,0.5723589009976422,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,3,200,100,10,3,ok,,0.40324399420995904,0.511839175012371,1.1875406139988627,3,1,0,0,2,2,0,100,0.18181818181818182,0.7
correlated_noise,No-StepA-FixedK,3,200,100,10,3,ok,,0.43529422512830196,0.5545205528258615,0.8852336130003096,3,1,0,0,0,0,0,100,0.18181818181818182,0.7
correlated_noise,Unsafe-Split,3,200,100,10,3,ok,,0.6834731182390393,0.7909076960362528,1.0166253600000346,6,0,1,0,4,4,0,44,0.37037037037037035,1.0
correlated_noise,Fixed-K,4,200,100,10,3,ok,,1.0,1.0,1.078865521998523,3,1,0,0,0,0,0,40,0.4,1.0
correlated_noise,Full-DIVI,4,200,100,10,3,ok,,0.9701140438994014,0.9527254264083758,1.0549239490028413,3,1,0,0,2,2,0,35,0.4444444444444444,1.0
correlated_noise,No-Gating,4,200,100,10,3,ok,,0.44991132141868606,0.524123641787839,0.582642459001363,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,4,200,100,10,3,ok,,0.699419031687037,0.6950807333219378,0.8848676589987008,3,1,0,0,2,2,0,100,0.18181818181818182,0.7
correlated_noise,No-StepA-FixedK,4,200,100,10,3,ok,,1.0,1.0,0.8681098520028172,3,1,0,0,0,0,0,100,0.18181818181818182,1.0
correlated_noise,Unsafe-Split,4,200,100,10,3,ok,,0.6816195876884313,0.7774734939455903,0.9796272370003862,6,0,1,0,4,4,0,36,0.43478260869565216,1.0
correlated_noise,Fixed-K,5,200,100,10,3,ok,,1.0,1.0,1.5112512500018056,3,1,0,0,0,0,0,54,0.3125,1.0
correlated_noise,Full-DIVI,5,200,100,10,3,ok,,0.715923937095293,0.703925449267585,1.2656354380014818,3,1,0,0,2,2,0,40,0.4,1.0
correlated_noise,No-Gating,5,200,100,10,3,ok,,0.5088434888949317,0.6023852767861292,0.802568656999938,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,5,200,100,10,3,ok,,0.39831581191939675,0.4528354035120194,1.2040826179982105,3,1,0,0,2,2,0,100,0.18181818181818182,0.3
correlated_noise,No-StepA-FixedK,5,200,100,10,3,ok,,1.0,1.0,0.84350361199904,3,1,0,0,0,0,0,100,0.18181818181818182,1.0
correlated_noise,Unsafe-Split,5,200,100,10,3,ok,,0.6961089731842893,0.7969283616722893,1.2620337209991703,6,0,1,0,4,4,0,38,0.4166666666666667,1.0
correlated_noise,Fixed-K,6,200,100,10,3,ok,,1.0,1.0,1.0572298080005567,3,1,0,0,0,0,0,35,0.4444444444444444,1.0
correlated_noise,Full-DIVI,6,200,100,10,3,ok,,0.4570944915346867,0.5332930450518699,1.0290779930001008,3,1,0,0,2,2,0,37,0.425531914893617,1.0
correlated_noise,No-Gating,6,200,100,10,3,ok,,0.4490082832703891,0.521996149930497,0.5671668750001118,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,6,200,100,10,3,ok,,0.44361196874418074,0.5003390679320235,0.9344434069971612,3,1,0,0,2,2,0,100,0.18181818181818182,0.4
correlated_noise,No-StepA-FixedK,6,200,100,10,3,ok,,1.0,1.0,0.9016174419994059,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,6,200,100,10,3,ok,,0.6664713337520345,0.7721842380247438,1.0110188430007838,6,0,1,0,4,4,0,35,0.4444444444444444,1.0
correlated_noise,Fixed-K,7,200,100,10,3,ok,,1.0,1.0,1.3764709950010001,3,1,0,0,0,0,0,53,0.31746031746031744,1.0
correlated_noise,Full-DIVI,7,200,100,10,3,ok,,0.9412644128920123,0.9205441076352393,1.0134172379985102,3,1,0,0,2,2,0,39,0.40816326530612246,1.0
