setting,variant,successful_runs,ARI_mean,ARI_std,ARI_count,NMI_mean,NMI_std,NMI_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count,final_K_mean,final_K_std,final_K_count,correct_K_mean,correct_K_std,correct_K_count,over_split_mean,over_split_std,over_split_count,under_split_mean,under_split_std,under_split_count,split_proposals_mean,split_proposals_std,split_proposals_count,accepted_splits_mean,accepted_splits_std,accepted_splits_count,rejected_splits_mean,rejected_splits_std,rejected_splits_count,active_dims_mean,active_dims_std,active_dims_count,feature_f1_thresh_mean,feature_f1_thresh_std,feature_f1_thresh_count,feature_f1_topd_mean,feature_f1_topd_std,feature_f1_topd_count
correlated_noise,Full-DIVI,20,0.7850522383596847,0.17183348144514451,20,0.781513997512271,0.1468779441791293,20,1.1348636138500297,0.17132961482584785,20,2.95,0.22360679774997894,20,0.95,0.223606797749979,20,0.0,0.0,20,0.05,0.22360679774997894,20,2.0,0.0,20,1.95,0.223606797749979,20,0.05,0.22360679774997894,20,42.55,5.986607861235821,20,0.3855009495937054,0.04581387019462326,20,1.0,0.0,20
correlated_noise,No-StepA,20,0.5296684353154391,0.11827247072486313,20,0.575368155939111,0.08570353254236246,20,0.9995372550496541,0.15329440835066668,20,3.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,2.0,0.0,20,2.0,0.0,20,0.0,0.0,20,100.0,0.0,20,0.1818181818181818,5.695323946259567e-17,20,0.425,0.14095538674570607,20
correlated_noise,No-Gating,20,0.48898931652593697,0.04096701105645909,20,0.5781588557324121,0.06322080163173899,20,0.6321257787498326,0.1015603300988737,20,2.0,0.0,20,0.0,0.0,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,100.0,0.0,20,,,0,,,0
correlated_noise,Fixed-K,20,0.9716642218432833,0.1105979388788079,20,0.9728978797197829,0.09814195564282055,20,1.2048081495495353,0.20060753934676903,20,3.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,48.5,6.484800041554664,20,0.34630779447817084,0.04243496722433515,20,1.0,0.0,20
correlated_noise,Unsafe-Split,20,0.6522849515005659,0.05704388841280972,20,0.7764535684275171,0.021556339418239777,20,1.1514857060499708,0.17103414531753428,20,6.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,4.0,0.0,20,4.0,0.0,20,0.0,0.0,20,40.4,5.576265492433557,20,0.40146776821544083,0.044900419286296754,20,1.0,0.0,20
correlated_noise,No-StepA-FixedK,20,0.9318384886304155,0.1751719258854483,20,0.9376112773339111,0.1404759159227964,20,0.9866004187500949,0.17103792135089232,20,3.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,100.0,0.0,20,0.1818181818181818,5.695323946259567e-17,20,0.89,0.09119095061289913,20
matched,Full-DIVI,20,0.8585985294543151,0.15064753250939653,20,0.8534570214750502,0.12066043726892844,20,1.2009218405501088,0.49179466424078755,20,2.9,0.3077935056255462,20,0.9,0.30779350562554625,20,0.0,0.0,20,0.1,0.30779350562554625,20,2.0,0.0,20,1.9,0.3077935056255462,20,0.1,0.30779350562554625,20,23.65,7.08798093142261,20,0.6210841000459812,0.13664109904301858,20,1.0,0.0,20
matched,No-StepA,20,0.5536451474201136,0.1908313549792861,20,0.5915790920032878,0.17048296514670433,20,0.9793429806994027,0.17394936216158968,20,2.9,0.3077935056255462,20,0.9,0.30779350562554625,20,0.0,0.0,20,0.1,0.30779350562554625,20,2.0,0.0,20,1.9,0.3077935056255462,20,0.1,0.30779350562554625,20,100.0,0.0,20,0.1818181818181818,5.695323946259567e-17,20,0.41,0.17441631985447617,20
matched,No-Gating,20,0.48924060161080296,0.03504494462063811,20,0.5767733880548693,0.051375450949184345,20,0.6733298416498655,0.12259409282305694,20,2.0,0.0,20,0.0,0.0,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,100.0,0.0,20,,,0,,,0
matched,Fixed-K,20,0.9940121961539112,0.010161853950781424,20,0.9911649510149294,0.014587546630246839,20,1.2080001808495582,0.17790623005300413,20,3.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,16.5,2.5443435716361726,20,0.7613794031535968,0.0737677597975171,20,1.0,0.0,20
matched,Unsafe-Split,20,0.6339999609671614,0.06303545526436816,20,0.7708695449626622,0.02513875239543506,20,1.1751549077504024,0.1742470674574353,20,6.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,4.0,0.0,20,4.0,0.0,20,0.0,0.0,20,22.15,6.251526129463783,20,0.6453815400928241,0.12898908044550264,20,1.0,0.0,20
matched,No-StepA-FixedK,20,0.9910355410125792,0.011256677896394006,20,0.9867523932847847,0.016049765532304472,20,0.9886635598501016,0.1544247575735278,20,3.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,100.0,0.0,20,0.1818181818181818,5.695323946259567e-17,20,0.905,0.07591546545162481,20
