scenario,n,d,k,d_info,delta,noise_sd,seed,method,status,error,ARI,NMI,runtime_sec,final_K,active_dims,feature_f1_thresh,feature_f1_topd
high_dim_scaling,600,100,3,10,2.0,3.0,1,DIVI-Info,ok,,0.9900041668585104,0.9808938144286627,2.9842703289998553,3,11.0,0.9523809523809523,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,1,K-means,ok,,0.9949958125176231,0.990445010867515,0.09454233399992518,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,1,diag-GMM,ok,,0.9900041668585104,0.9808938144286627,0.07930721700017784,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,1,PCA(50)+K-means,ok,,0.9900042509932298,0.9808936881946647,0.0890858699999626,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,1,PCA(50)+diag-GMM,ok,,0.9949958125176231,0.990445010867515,0.09618809099993086,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,2,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,2.1023232810000536,3,10.0,1.0,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,2,K-means,ok,,0.9900168347249766,0.9829929733076637,0.0918593480000709,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,2,diag-GMM,ok,,0.9949958125176231,0.990445010867515,0.05700672200009649,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,2,PCA(50)+K-means,ok,,0.9900166666666667,0.9808976795715441,0.08604778699987037,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,2,PCA(50)+diag-GMM,ok,,0.9900166666666667,0.9808976795715441,0.06163207899999179,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,3,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,1.913772230999939,3,13.0,0.8695652173913043,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,3,K-means,ok,,0.9751809851776744,0.9606511251434577,0.05262537799990241,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,3,diag-GMM,ok,,0.9900168347249766,0.9829929733076637,0.0378704590000325,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,3,PCA(50)+K-means,ok,,0.9751809851776744,0.9606511251434577,0.04884020200006489,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,3,PCA(50)+diag-GMM,ok,,0.9850631913879141,0.9763344852092004,0.03677662500012957,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,4,DIVI-Info,ok,,1.0,1.0,1.5388331750000361,3,14.0,0.8333333333333334,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,4,K-means,ok,,0.9900166666666667,0.9808976795715441,0.06522838500018224,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,4,diag-GMM,ok,,1.0,1.0,0.038507649000166566,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,4,PCA(50)+K-means,ok,,0.98997916755783,0.9808861032850347,0.06669360099999722,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,4,PCA(50)+diag-GMM,ok,,0.9949958125176231,0.990445010867515,0.042120923000084076,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,5,DIVI-Info,ok,,1.0,1.0,1.5418330489999335,3,12.0,0.9090909090909091,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,5,K-means,ok,,0.9850626884924543,0.9734533486498996,0.055106788000102824,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,5,diag-GMM,ok,,0.9949958125176231,0.990445010867515,0.0425288639999053,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,5,PCA(50)+K-means,ok,,0.9850626884924543,0.9734533486498996,0.0653687120000086,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,5,PCA(50)+diag-GMM,ok,,0.9900166666666667,0.9808976795715441,0.04006412600006115,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,6,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,1.5357877820001704,3,12.0,0.9090909090909091,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,6,K-means,ok,,0.9949958125176231,0.9904450108675152,0.05448410399981185,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,6,diag-GMM,ok,,0.9949958125176231,0.9904450108675152,0.03777208599990445,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,6,PCA(50)+K-means,ok,,0.9900168347249766,0.9829929733076634,0.04905610000014349,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,6,PCA(50)+diag-GMM,ok,,0.9949958125176231,0.990445010867515,0.04130475499982822,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,7,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,1.453059698000061,3,12.0,0.9090909090909091,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,7,K-means,ok,,0.9850379826540705,0.9734452146288187,0.061203575000035926,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,7,diag-GMM,ok,,0.9949958125176231,0.990445010867515,0.07252564099985648,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,7,PCA(50)+K-means,ok,,1.0,1.0,0.05278600099995856,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,7,PCA(50)+diag-GMM,ok,,0.9849878166277639,0.9734300455833589,0.046930974999895625,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,8,DIVI-Info,ok,,1.0,1.0,1.5453815200000918,3,13.0,0.8695652173913043,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,8,K-means,ok,,0.9850626884924543,0.9734533486498999,0.05344466599990483,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,8,diag-GMM,ok,,1.0,1.0,0.03920747400002256,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,8,PCA(50)+K-means,ok,,0.9850626884924543,0.9734533486498996,0.04764782400002332,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,8,PCA(50)+diag-GMM,ok,,0.9900168347249766,0.9829929733076634,0.06312516200000573,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,9,DIVI-Info,ok,,1.0,1.0,2.0473733169999377,3,11.0,0.9523809523809523,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,9,K-means,ok,,0.9949958125176231,0.990445010867515,0.08403750299999047,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,9,diag-GMM,ok,,1.0,1.0,0.056253959000059695,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,9,PCA(50)+K-means,ok,,0.9949958125176231,0.990445010867515,0.07666079999989961,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,9,PCA(50)+diag-GMM,ok,,1.0,1.0,0.06416979300001913,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,10,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,2.100314973999957,3,13.0,0.8695652173913043,1.0
high_dim_scaling,600,100,3,10,2.0,3.0,10,K-means,ok,,0.9800838361096267,0.9660011177521188,0.10627896699998018,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,10,diag-GMM,ok,,0.9949958125176231,0.990445010867515,0.059453699999949094,3,,,
high_dim_scaling,600,100,3,10,2.0,3.0,10,PCA(50)+K-means,ok,,0.9751552754716795,0.9593501426586537,0.09243277000018679,3,50.0,,
high_dim_scaling,600,100,3,10,2.0,3.0,10,PCA(50)+diag-GMM,ok,,0.9949958125176231,0.990445010867515,0.06843766299994058,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,1,DIVI-Info,ok,,0.9850626884924543,0.9734533486498996,7.100853576999953,3,60.0,0.2857142857142857,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,1,K-means,ok,,0.6413608196275089,0.6046729149382881,0.1697582010001497,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,1,diag-GMM,ok,,0.985037604845926,0.9713502414949172,0.3413733709999178,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,1,PCA(50)+K-means,ok,,0.8267863021738073,0.7793116497799031,0.07849418599994351,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,1,PCA(50)+diag-GMM,ok,,0.9752298990533981,0.9593738837538625,0.11418755599993347,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,2,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,7.810172605000162,3,60.0,0.2857142857142857,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,2,K-means,ok,,0.5938193054415433,0.5859474170533844,0.19439363800006504,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,2,diag-GMM,ok,,0.9801350059845216,0.9701911554558436,0.49491047199990135,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,2,PCA(50)+K-means,ok,,0.6027257567712052,0.6004369614032695,0.07648055899994688,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,2,PCA(50)+diag-GMM,ok,,0.47057516718967046,0.5294092171911732,0.16243381399999635,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,3,DIVI-Info,ok,,1.0,1.0,7.281182767000018,3,68.0,0.2564102564102564,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,3,K-means,ok,,0.5360840182838572,0.5277604504472854,0.17463054600011674,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,3,diag-GMM,ok,,0.9900166666666667,0.9808976795715441,0.389002906000087,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,3,PCA(50)+K-means,ok,,0.7903402361316421,0.7498037698304207,0.08444389999999657,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,3,PCA(50)+diag-GMM,ok,,0.98997916755783,0.9808861032850349,0.12904248900008497,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,4,DIVI-Info,ok,,0.9849878166277639,0.9734300455833589,8.080930794000096,3,49.0,0.3389830508474576,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,4,K-means,ok,,0.5990805151254033,0.5839371230311312,0.1830611749999207,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,4,diag-GMM,ok,,0.9900166666666667,0.9808976795715441,0.37654588800000965,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,4,PCA(50)+K-means,ok,,0.7902630895544179,0.738328559672067,0.09727604699992298,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,4,PCA(50)+diag-GMM,ok,,0.9800584170854272,0.9618029826192818,0.12290545199994085,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,5,DIVI-Info,ok,,1.0,1.0,6.982382758000085,3,29.0,0.5128205128205128,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,5,K-means,ok,,0.528390417067492,0.5335037870177025,0.1838224050000008,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,5,diag-GMM,ok,,0.9850379826540705,0.9734452146288187,0.8814432399999532,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,5,PCA(50)+K-means,ok,,0.7438212784671222,0.7017748524031902,0.16264888700015945,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,5,PCA(50)+diag-GMM,ok,,1.0,1.0,0.16421996600001876,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,6,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,7.562985885999979,3,51.0,0.32786885245901637,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,6,K-means,ok,,0.6119138667559604,0.5788581852012099,0.19072284399999262,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,6,diag-GMM,ok,,0.9850377307840942,0.9734455812074277,0.6432087450000381,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,6,PCA(50)+K-means,ok,,0.7242511519857538,0.6909876791401204,0.08193619700000454,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,6,PCA(50)+diag-GMM,ok,,0.980096629062875,0.9667907781859975,0.10630175899996175,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,7,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,7.448444080999934,3,46.0,0.35714285714285715,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,7,K-means,ok,,0.5414473762021547,0.5233529252269574,0.2499405089999982,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,7,diag-GMM,ok,,0.9850125211993978,0.9713426179898101,0.5231112659998871,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,7,PCA(50)+K-means,ok,,0.6931940358367261,0.659361303135046,0.1289114989999689,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,7,PCA(50)+diag-GMM,ok,,0.9850125211993978,0.9713426179898101,0.22284497999999076,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,8,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,7.314161985000055,3,60.0,0.2857142857142857,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,8,K-means,ok,,0.4830033115428331,0.5303609469355662,0.16437837500006935,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,8,diag-GMM,ok,,1.0,1.0,0.44762718900005893,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,8,PCA(50)+K-means,ok,,0.8061160125277645,0.7664952706479596,0.07988094100005583,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,8,PCA(50)+diag-GMM,ok,,0.9604686721772941,0.9341742898626085,0.1202459120002004,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,9,DIVI-Info,ok,,1.0,1.0,7.597415501999876,3,37.0,0.425531914893617,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,9,K-means,ok,,0.5829100004960106,0.5646079551667769,0.2833322940000471,3,,,
