scenario,n,d,d_info,delta,noise_sd,method,ARI_mean,ARI_std,ARI_count,NMI_mean,NMI_std,NMI_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count,final_K_mean,final_K_std,final_K_count,active_dims_mean,active_dims_std,active_dims_count,feature_f1_thresh_mean,feature_f1_thresh_std,feature_f1_thresh_count,feature_f1_topd_mean,feature_f1_topd_std,feature_f1_topd_count
high_dim_scaling,600,100,10,2.0,3.0,DIVI-Info,0.9964983229446626,0.0033748863353308236,10,0.9933118868766238,0.0064483145272848505,10,1.8762949356000036,0.47021008227289224,10,3.0,0.0,10,12.1,1.1972189997378646,10,0.9074063617541878,0.04990011434677379,10,1.0,0.0,10
high_dim_scaling,600,100,10,2.0,3.0,K-means,0.9875449119870792,0.0067157330236048965,10,0.9782229840305948,0.010564672671018242,10,0.07188110479999069,0.020266665038039942,10,3.0,0.0,10,,,0,,,0,,,0
high_dim_scaling,600,100,10,2.0,3.0,PCA(50)+K-means,0.9875474370094588,0.007842417712556421,10,0.9783023420328332,0.012374428184202523,10,0.06746196670001155,0.017700244293498115,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
high_dim_scaling,600,100,10,2.0,3.0,PCA(50)+diag-GMM,0.9920084426144481,0.004818817903484179,10,0.9856332906713371,0.008070682308876621,10,0.056075019199988675,0.01835838303921714,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
high_dim_scaling,600,100,10,2.0,3.0,diag-GMM,0.9955000064171603,0.0036861649513768887,10,0.9916111842073901,0.0067251771276660155,10,0.052043377100017094,0.015286742399980974,10,3.0,0.0,10,,,0,,,0,,,0
high_dim_scaling,600,500,10,2.0,3.0,DIVI-Info,0.9945029567708333,0.005492657157370497,10,0.9899108448570834,0.009714054807552996,10,7.346024700900012,0.49515365534690975,10,3.0,0.0,10,51.6,11.843422928641308,10,0.33789306047468776,0.07801363321490107,10,1.0,0.0,10
high_dim_scaling,600,500,10,2.0,3.0,K-means,0.5670886586584436,0.047025536177461316,10,0.5579353325471248,0.029298003725754248,10,0.19719061280004552,0.03850327240587553,10,3.0,0.0,10,,,0,,,0,,,0
high_dim_scaling,600,500,10,2.0,3.0,PCA(50)+K-means,0.7335332515023574,0.07555943566312837,10,0.6996677459043184,0.06220768702136717,10,0.10320426490000045,0.031890963465647744,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
high_dim_scaling,600,500,10,2.0,3.0,PCA(50)+diag-GMM,0.8754121463384713,0.22112293552099704,10,0.8770307971167857,0.18665940697898395,10,0.15096675600002527,0.04464065751829214,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
high_dim_scaling,600,500,10,2.0,3.0,diag-GMM,0.988031518038483,0.005347021946711661,10,0.9785456957656231,0.008957467873524777,10,0.4898402414999737,0.16556476716914673,10,3.0,0.0,10,,,0,,,0,,,0
high_dim_scaling,600,1000,10,2.0,3.0,DIVI-Info,0.9950008418407457,0.004072221937690732,10,0.9906560657280032,0.007235182573682837,10,14.185001768600022,0.7868686036863638,10,3.0,0.0,10,82.6,10.76207332358511,10,0.21856463319361946,0.024862777882761443,10,1.0,0.0,10
high_dim_scaling,600,1000,10,2.0,3.0,K-means,0.388086499669411,0.034989032715830565,10,0.424913104298286,0.029612445450263356,10,0.3606822820000161,0.039068933805842365,10,3.0,0.0,10,,,0,,,0,,,0
high_dim_scaling,600,1000,10,2.0,3.0,PCA(50)+K-means,0.44131574057177536,0.04574541237156407,10,0.467844368804281,0.03286400866354124,10,0.13382696470005156,0.02390000613082837,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
high_dim_scaling,600,1000,10,2.0,3.0,PCA(50)+diag-GMM,0.542782020434103,0.22460951901193593,10,0.5804336325848343,0.18873321317977018,10,0.22155478119998406,0.056686143862110704,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
high_dim_scaling,600,1000,10,2.0,3.0,diag-GMM,0.5179129476685153,0.08369902749773847,10,0.5581918658428069,0.06350010429561505,10,0.5692729906000296,0.09637911915193122,10,3.0,0.0,10,,,0,,,0,,,0
high_dim_scaling,600,2000,10,2.0,3.0,DIVI-Info,0.4604065607641554,0.1415883545407413,10,0.5909650582667271,0.10220397477295053,10,25.61696840869997,2.196911320308516,10,3.0,0.0,10,544.8,273.33894303186617,10,0.047931662237915625,0.028298846415313803,10,0.93,0.14944341180973264,10
high_dim_scaling,600,2000,10,2.0,3.0,K-means,0.16654337690051263,0.12248270008816675,10,0.16354745562302103,0.12019838667020138,10,0.49316199980000874,0.1383201697335732,10,3.0,0.0,10,,,0,,,0,,,0
high_dim_scaling,600,2000,10,2.0,3.0,PCA(50)+K-means,0.3852336676213913,0.020945842428132133,10,0.41775635555529894,0.02317716383403673,10,0.2613951092000207,0.06572227582487723,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
high_dim_scaling,600,2000,10,2.0,3.0,PCA(50)+diag-GMM,0.42273754433389293,0.05090588683005217,10,0.46434882785867726,0.05426015635433328,10,0.3446089680000341,0.08797743967060899,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
high_dim_scaling,600,2000,10,2.0,3.0,diag-GMM,0.0820114454087159,0.11908609370297185,10,0.08686651533430002,0.12465417362519007,10,0.5658349813000086,0.19661104486570016,10,3.0,0.0,10,,,0,,,0,,,0
weak_signal,200,500,10,1.0,3.0,DIVI-Info,0.28643409219195654,0.1349244565767357,10,0.3296360096888408,0.15557451622637702,10,2.236540574700007,0.23909868234039622,10,3.0,0.0,10,247.0,43.11483374534673,10,0.07978340450410384,0.013153653960276327,10,0.7,0.33993463423951903,10
weak_signal,200,500,10,1.0,3.0,K-means,0.12436703339285508,0.07544742605058191,10,0.129789250747894,0.06980779205603439,10,0.055509357699997965,0.012972646253798226,10,3.0,0.0,10,,,0,,,0,,,0
weak_signal,200,500,10,1.0,3.0,PCA(50)+K-means,0.15194123310404822,0.06343791338841928,10,0.16501251618909046,0.06487027360417284,10,0.06427227339995625,0.01765185297680884,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
weak_signal,200,500,10,1.0,3.0,PCA(50)+diag-GMM,0.006715338986535103,0.008444346986094909,10,0.02470625140426918,0.021898151813837294,10,0.12251165579998542,0.035560897513236454,10,3.0,0.0,10,50.0,0.0,10,,,0,,,0
weak_signal,200,500,10,1.0,3.0,diag-GMM,0.050598851831769355,0.06745804678855342,10,0.06170936726153512,0.0638651158581714,10,0.0659207866000088,0.014872697367114196,10,3.0,0.0,10,,,0,,,0,,,0
weak_signal,200,500,10,1.5,3.0,DIVI-Info,0.5157981303456294,0.1882583857500216,10,0.5637822640567933,0.14385928177002769,10,2.2455857758000777,0.26884489639937065,10,3.0,0.0,10,149.2,37.51384929447909,10,0.13113693352928235,0.02652149179690183,10,1.0,0.0,10
weak_signal,200,500,10,1.5,3.0,K-means,0.27838004190313353,0.05262733364342883,10,0.2921602628271175,0.05863197977410451,10,0.06507161979998273,0.013969379501692046,10,3.0,0.0,10,,,0,,,0,,,0
