dataset,method,seed,ARI,NMI,Final K,Label K,Active genes,Time (s)
PBMC-SCT,K-means,1,0.6113983120323453,0.7402493393077118,8,8,,6.443686140999489
PBMC-SCT,diag-GMM,1,0.6436700612143711,0.7512367062300115,8,8,,12.605697064000196
PBMC-SCT,K-means,2,0.6537940961293849,0.7593475705170597,8,8,,5.048563397999715
PBMC-SCT,diag-GMM,2,0.6535099440493316,0.7664274311243655,8,8,,10.203117809000105
PBMC-SCT,K-means,3,0.830479512944818,0.8061769703525581,8,8,,5.0764725380004165
PBMC-SCT,diag-GMM,3,0.6376781073183622,0.7503340626533483,8,8,,15.153852479000307
PBMC-SCT,K-means,4,0.5648781666393525,0.7127467347975198,8,8,,5.6565153669998836
PBMC-SCT,diag-GMM,4,0.5924269647052193,0.7298995316957784,8,8,,10.353993157999867
PBMC-SCT,K-means,5,0.6265391455574381,0.7475527249951253,8,8,,5.3628074500002185
PBMC-SCT,diag-GMM,5,0.8300562348846849,0.8075904045740616,8,8,,12.702043545999913
