rank,gene,q_phi
1,TYROBP,0.9525472
2,LYZ,0.9507828
3,CST3,0.95054466
4,HLA-DRA,0.94815695
5,CD74,0.946382
6,S100A9,0.94594294
7,LST1,0.94511575
8,FTL,0.9449916
9,FTH1,0.94276446
10,AIF1,0.9427347
11,FCER1G,0.941995
12,CD79A,0.9414368
13,LGALS2,0.93887746
14,HLA-DRB1,0.93841565
15,S100A8,0.9377465
16,FCN1,0.9366755
17,NKG7,0.93629754
18,LGALS1,0.9337534
19,CST7,0.93317825
20,HLA-DPA1,0.93270004
21,HLA-DPB1,0.9322511
22,AL928768.3,0.9321732
23,FGFBP2,0.932104
24,TYMP,0.93208164
25,GZMA,0.9303288
26,PRF1,0.92970425
27,MS4A1,0.9295768
28,GZMB,0.9294141
29,VPREB3,0.9285059
30,COTL1,0.92667574
31,IL32,0.9253474
32,CFD,0.9252329
33,TMEM40,0.9244896
34,LYPD2,0.92364645
35,HLA-DRB5,0.9235939
36,GP9,0.92284787
37,CTSW,0.9227341
38,LINC00926,0.92236125
39,CTSS,0.92173094
40,FCGR3A,0.9214195
41,HLA-DQA1,0.9213742
42,S100A4,0.9213555
43,S100A6,0.9201324
44,CD79B,0.917824
45,SAT1,0.9164496
46,S100A11,0.91644204
47,SERPINA1,0.9158781
48,AKR1C3,0.915825
49,CD3D,0.9150975
50,IFITM3,0.9148848
