experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,runtime_axis,runtime_value,baseline_timeout_sec,baseline_converged_flag
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed0__divi,run_divi_runtime_real.py,2026-03-25T09:19:00Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,0,divi,1,divi,2000.0,1.0,80,auto_entropy,544.8723967505944,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8094396532839916,0.7800561978561804,nan,0.9255,353,0.9192708333333334,0.7334172129631042,0.7710463404655457,1206434.75,1105155.25,101279.5,1184174.5,11.13012409210205,15.614224048000324,1.1415073680000205,14.425180926999928,0.04232371200032503,0.04495733600015228,0.04808393642333309,1147.2734375,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed0__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:19:01Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,0,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,4,0,nan,nan,[],0.844402778092528,0.8020908544967006,nan,0.939,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.405856,nan,0.405856,nan,nan,nan,1147.453125,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed0__gmm_oracle,run_divi_runtime_real.py,2026-03-25T09:19:02Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,0,gmm_oracle,nan,gmm_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,4,0,nan,nan,[],0.8434601563692999,0.8022758616966952,nan,0.9385,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.331898,nan,1.331898,nan,nan,nan,1153.109375,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed0__spkm,run_divi_runtime_real.py,2026-03-25T09:19:10Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,0,spkm,nan,spkm,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,4,0,nan,nan,[],0.5139629644456103,0.5151563566882862,nan,0.7755,30,0.078125,nan,nan,nan,nan,nan,nan,nan,8.110535,nan,8.110535,nan,nan,nan,1153.109375,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed1__divi,run_divi_runtime_real.py,2026-03-25T09:19:26Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,1,divi,1,divi,2000.0,1.0,80,auto_entropy,544.8723967505944,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.5226676114821452,0.6206571817307148,nan,0.6645,351,0.9140625,0.7320777773857117,0.7718565464019775,1210556.625,1115297.25,95259.375,1188917.5,10.81954574584961,15.983461801000885,1.087728333999621,14.843423306000659,0.044648566000432766,0.05001268400155823,0.04947807768666886,1153.109375,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed1__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:19:27Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,1,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,4,0,nan,nan,[],0.8445932629572291,0.8021979143114102,nan,0.939,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.409828,nan,0.409828,nan,nan,nan,1153.109375,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed1__gmm_oracle,run_divi_runtime_real.py,2026-03-25T09:19:28Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,1,gmm_oracle,nan,gmm_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,4,0,nan,nan,[],0.8311467646385914,0.7919380276263053,nan,0.9335,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.435031,nan,1.435031,nan,nan,nan,1153.109375,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed1__spkm,run_divi_runtime_real.py,2026-03-25T09:19:37Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,1,spkm,nan,spkm,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,4,0,nan,nan,[],0.5139629644456103,0.5151563566882862,nan,0.7755,30,0.078125,nan,nan,nan,nan,nan,nan,nan,8.692425,nan,8.692425,nan,nan,nan,1153.109375,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed2__divi,run_divi_runtime_real.py,2026-03-25T09:19:53Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,2,divi,1,divi,2000.0,1.0,80,auto_entropy,544.8723967505944,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.803066610059557,0.7783243197545773,nan,0.921,352,0.9166666666666666,0.7322610020637512,0.7735626101493835,1208564.75,1114567.875,93996.875,1186538.0,11.01340103149414,15.761768732998462,1.185729517001164,14.527441005000583,0.04779846399833332,0.04637131799972849,0.04842480335000194,1153.109375,ok,False,,,dataset,20ng,nan,True
runtime_real__20ng_train_4cats_2000docs__runtime_20ng__seed2__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:19:53Z,unknown,x86_64,cpu,x86_64,20ng,20ng_train_4cats_2000docs,runtime_20ng,2000,384,4,nan,nan,nan,nan,2,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,4,0,nan,nan,[],0.8481849185503184,0.8060240675720713,nan,0.9405,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.418497,nan,0.418497,nan,nan,nan,1153.109375,ok,False,,,dataset,20ng,nan,True
