experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,runtime_axis,runtime_value,baseline_timeout_sec,baseline_converged_flag
runtime_real__isolet_first_5__runtime_isolet__seed0__divi,run_divi_runtime_real.py,2026-03-25T09:11:53Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,0,divi,1,divi,1499.0,1.0,80,auto_entropy,875.485074987283,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.6851688477204501,0.7636543240111847,nan,0.7598398932621748,575,0.9319286871961102,0.7803779244422913,0.8233674764633179,1319836.75,1211005.625,108831.125,1300485.75,12.909246444702148,23.81933362699965,2.39988565800013,20.136995146999652,0.06315418999929534,0.06255237799996394,0.0671233171566655,666.96875,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed0__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:11:54Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,0,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,5,0,nan,nan,[],0.6308339952955893,0.714477151994444,nan,0.752501667778519,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.626074,nan,0.626074,nan,nan,nan,667.37109375,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed0__gmm_oracle,run_divi_runtime_real.py,2026-03-25T09:11:58Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,0,gmm_oracle,nan,gmm_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,5,0,nan,nan,[],0.3800334292360192,0.5623034662866924,nan,0.5163442294863242,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.834844,nan,3.834844,nan,nan,nan,673.9296875,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed0__spkm,run_divi_runtime_real.py,2026-03-25T09:12:06Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,0,spkm,nan,spkm,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,5,0,nan,nan,[],0.551433696762814,0.6395391257587981,nan,0.7224816544362909,23,0.03727714748784441,nan,nan,nan,nan,nan,nan,nan,8.423622,nan,8.423622,nan,nan,nan,673.93359375,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed1__divi,run_divi_runtime_real.py,2026-03-25T09:12:28Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,1,divi,1,divi,1499.0,1.0,80,auto_entropy,875.485074987283,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.31669255387776174,0.4290620609693827,nan,0.5270180120080054,579,0.9384116693679092,0.7816243767738342,0.8216168880462646,1327060.0,1217619.75,109440.25,1306904.5,13.44593620300293,21.63250104800045,1.4848104239999884,20.073321245000443,0.05599043000074744,0.0719443849993695,0.06691107081666814,719.9140625,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed1__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:12:29Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,1,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,5,0,nan,nan,[],0.6304310304785326,0.7154610478994805,nan,0.7505003335557038,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.536894,nan,0.536894,nan,nan,nan,663.734375,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed1__gmm_oracle,run_divi_runtime_real.py,2026-03-25T09:12:31Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,1,gmm_oracle,nan,gmm_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,5,0,nan,nan,[],0.6304310304785326,0.7154610478994805,nan,0.7505003335557038,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.195683,nan,2.195683,nan,nan,nan,663.734375,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed1__spkm,run_divi_runtime_real.py,2026-03-25T09:12:41Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,1,spkm,nan,spkm,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,5,0,nan,nan,[],0.551433696762814,0.6395391257587981,nan,0.7224816544362909,23,0.03727714748784441,nan,nan,nan,nan,nan,nan,nan,9.881915,nan,9.881915,nan,nan,nan,663.73828125,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed2__divi,run_divi_runtime_real.py,2026-03-25T09:13:04Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,2,divi,1,divi,1499.0,1.0,80,auto_entropy,875.485074987283,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.5035622502556053,0.609473719885339,nan,0.5837224816544363,578,0.9367909238249594,0.7810192704200745,0.8224171996116638,1324188.75,1216565.375,107623.375,1304354.5,13.231619834899902,22.866483003999747,1.426811579999594,21.353152806999788,0.06075488999977097,0.08397770000010496,0.07117717602333262,699.03125,ok,False,,,dataset,isolet,nan,True
runtime_real__isolet_first_5__runtime_isolet__seed2__kmeans_oracle,run_divi_runtime_real.py,2026-03-25T09:13:04Z,unknown,x86_64,cpu,x86_64,isolet,isolet_first_5,runtime_isolet,1499,617,5,nan,nan,nan,nan,2,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,5,0,nan,nan,[],0.6325398386786752,0.7166484840543856,nan,0.7531687791861241,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.608913,nan,0.608913,nan,nan,nan,699.03125,ok,False,,,dataset,isolet,nan,True
