experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,runtime_axis,runtime_value,baseline_timeout_sec,baseline_converged_flag
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed0__divi,run_divi_runtime_synth.py,2026-03-25T08:15:50Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,0,divi,1,divi,1000.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8790863947577888,0.9094849103554182,nan,0.879,10,0.1,0.28480473160743713,0.20451822876930237,187202.46875,179704.53125,7497.9375,183629.0625,3.573408365249634,8.700206663000245,0.2665009780002947,2.851336994999656,0.018312069000785414,0.007673202999285422,0.009504456649998853,485.96484375,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed0__kmeans_oracle,run_divi_runtime_synth.py,2026-03-25T08:15:50Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,0,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,3,0,nan,nan,[],1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.063302,nan,0.063302,nan,nan,nan,486.1796875,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed0__gmm_oracle,run_divi_runtime_synth.py,2026-03-25T08:15:50Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,0,gmm_oracle,nan,gmm_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,3,0,nan,nan,[],1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.217052,nan,0.217052,nan,nan,nan,487.828125,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed0__spkm,run_divi_runtime_synth.py,2026-03-25T08:15:50Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,0,spkm,nan,spkm,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,3,0,nan,nan,[],1.0,1.0,nan,1.0,95,0.95,nan,nan,nan,nan,nan,nan,nan,0.149814,nan,0.149814,nan,nan,nan,488.296875,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed1__divi,run_divi_runtime_synth.py,2026-03-25T08:15:53Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,1,divi,1,divi,1000.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8717912569048336,0.906079716572033,nan,0.858,10,0.1,0.2808740437030792,0.20185920596122742,187168.109375,177899.140625,9268.96875,183878.390625,3.2897229194641113,2.533242997999878,0.24499712900069426,2.2795493290004742,0.005984637000437942,0.007820009000170103,0.0075984977633349144,494.2734375,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed1__kmeans_oracle,run_divi_runtime_synth.py,2026-03-25T08:15:53Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,1,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,3,0,nan,nan,[],1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.044574,nan,0.044574,nan,nan,nan,494.2734375,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed1__gmm_oracle,run_divi_runtime_synth.py,2026-03-25T08:15:53Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,1,gmm_oracle,nan,gmm_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,3,0,nan,nan,[],0.9970015045323003,0.9938029489046497,nan,0.999,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.097223,nan,0.097223,nan,nan,nan,494.2734375,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed1__spkm,run_divi_runtime_synth.py,2026-03-25T08:15:53Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,1,spkm,nan,spkm,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,3,0,nan,nan,[],1.0,1.0,nan,1.0,95,0.95,nan,nan,nan,nan,nan,nan,nan,0.128949,nan,0.128949,nan,nan,nan,494.2734375,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed2__divi,run_divi_runtime_synth.py,2026-03-25T08:15:55Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,2,divi,1,divi,1000.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8829865582560039,0.911349518786087,nan,0.887,10,0.1,0.2850266396999359,0.2068149298429489,187234.5,178575.171875,8659.328125,183602.8125,3.631682872772217,2.270528199999717,0.15563522100001137,2.1081941339998593,0.00575793000007252,0.005996378999952867,0.007027313779999531,488.296875,ok,False,,,D,100,nan,True
runtime_synth__synthetic_n1000_d100_noise3.0__runtime_dscale__seed2__kmeans_oracle,run_divi_runtime_synth.py,2026-03-25T08:15:55Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d100_noise3.0,runtime_dscale,1000,100,3,0.1,0.9,3.0,20260425,2,kmeans_oracle,nan,kmeans_oracle,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,3,0,nan,nan,[],1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.037573,nan,0.037573,nan,nan,nan,488.296875,ok,False,,,D,100,nan,True
