dataset,method,runtime_axis,runtime_value,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic,divi,D,100,0.8746756865565141,0.005529628756575801,0.8717912569048336,0.9074422702852786,0.0025882100881314675,0.906079716572033,1.0,0.0,1.0,0.8638,0.016763368584976884,0.858,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.957485387849374,1.4419582418034667,2.485249150999607,474.3611328125,11.432324162310373,473.884765625,3.0,0.0,3.0
synthetic,divi,D,500,0.867302771353202,0.0037275245033262807,0.8666411491860637,0.8963548670894633,0.0024901968820783245,0.8952024365215505,0.8005128205128205,0.02137777531742014,0.8,0.8486,0.016151910429615328,0.844,4.0,0.0,4.0,15.0,0.6488856845230502,15.0,0.03,0.0012977713690461002,0.03,11.71491356969982,0.6101217994218496,11.651873961999627,553.7357421875,38.27542723647042,556.224609375,3.0,0.0,3.0
synthetic,divi,D,1000,0.8609539150162798,0.008448821407400277,0.8632480773418789,0.8856336404745749,0.010366158910829327,0.8892660408344389,0.40759675028403797,0.01283767407408783,0.4081632653061224,0.8468421052631578,0.013667736372342719,0.843,4.0,0.0,4.0,39.05263157894737,1.4709665835968126,39.0,0.03905263157894737,0.001470966583596814,0.039,21.424624832157285,1.2530372383263404,21.16612207099752,740.6221217105264,94.87309839175659,771.2265625,3.0,0.0,3.0
synthetic,divi,D,2000,0.6143914425454197,0.18734264636352055,0.7180697634709182,0.6711173448952017,0.151676536704571,0.7513691348201769,0.2547562076477739,0.009776069989100933,0.2564102564102564,0.7302000000000001,0.10763708866902177,0.798,4.0,0.0,4.0,68.6,2.8233718443429603,68.0,0.034300000000000004,0.0014116859221714787,0.034,39.99246843759999,2.837408321652621,39.6768309379986,1001.73984375,110.70064987324642,995.60546875,3.0,0.0,3.0
synthetic,divi,D,5000,0.0225405538970988,0.01759778076788655,0.0203622366208134,0.02345054525244444,0.015117409207477953,0.020769348925251,0.00851574834175206,1.9819709802023663e-05,0.0085106382978723,0.4018,0.027954554957236272,0.403,4.0,0.0,4.0,2338.6,5.053994177168847,2340.0,0.46772,0.0010107988354337684,0.468,164.09790764819985,13.459417058022073,165.19765945799736,936.4721354166667,115.29205547803362,979.30859375,3.0,0.0,3.0
synthetic,divi,N,200,0.29266209282803646,0.026149239900473936,0.2782328674864159,0.40349585678647365,0.023483831302458437,0.3911969637108858,0.0548603904185338,0.0006306433449724986,0.0547945205479452,0.51,0.0408831086321548,0.495,4.0,0.0,4.0,354.6,3.850788416489723,355.0,0.35459999999999997,0.0038507884164897302,0.355,4.957824657266428,0.39167766463539144,4.874080479999975,857.6036458333333,118.26719763860801,867.38671875,3.0,0.0,3.0
synthetic,divi,N,500,0.6995475097045218,0.033987718248736754,0.7059485071173027,0.7364945502462376,0.030135081993996733,0.7456583610126141,0.24064200530528504,0.00882978120678374,0.2409638554216867,0.7816,0.027194537266569844,0.792,4.0,0.0,4.0,73.2,2.808151400069855,73.0,0.07319999999999999,0.0028081514000698527,0.073,10.539852674199938,0.29099784845440224,10.601143412000056,799.378125,72.4243394984188,811.84375,3.0,0.0,3.0
synthetic,divi,N,1000,0.8670404537962494,0.009139268362137149,0.8685738772560065,0.8815840436270244,0.01770644635121076,0.8760055174629092,0.5270464796780586,0.021961791765084015,0.5263157894736842,0.879,0.02651145305065613,0.865,4.0,0.0,4.0,28.0,1.4638501094227998,28.0,0.028,0.0014638501094228005,0.028,20.198934161266514,0.5679402358127613,20.03353375200004,861.08828125,65.68729006925706,883.31640625,3.0,0.0,3.0
synthetic,divi,N,2000,0.8687791130773294,0.0029542794835642388,0.8674753872776316,0.8996395854948415,0.0019829204607897223,0.8996291258956634,0.9636363636363636,0.04979295977319688,1.0,0.8462,0.013046345958050607,0.842,4.0,0.0,4.0,10.8,1.01418510567422,10.0,0.0108,0.0010141851056742204,0.01,41.51458377146628,2.0680228281145,41.05015554800048,1088.5106770833333,99.31834307559166,1076.9609375,3.0,0.0,3.0
synthetic,divi,N,5000,0.8813076028086377,0.024937877992394896,0.8681422916534189,0.900109394502333,0.007651214488777847,0.8972606389764849,1.0,0.0,1.0,0.8757199999999999,0.04210285365286164,0.8558,4.0,0.0,4.0,10.0,0.0,10.0,0.01,0.0,0.01,173.60076392166738,9.286491189466316,172.29211574800047,1029.5950520833333,152.36919353596298,1115.109375,3.0,0.0,3.0
synthetic,gmm_oracle,D,100,0.9988006018129202,0.0015071178547690952,1.0,0.9975211795618598,0.0031147908854050137,1.0,,,,0.9996,0.000502624689950039,1.0,3.0,0.0,3.0,,,,,,,0.12371950000000001,0.0915087410915367,0.096834,474.7625,11.13347979590617,473.884765625,0.0,0.0,0.0
synthetic,gmm_oracle,D,500,0.6167212736531605,0.16982371616519307,0.6824291541779783,0.6188149095609303,0.12668295330145576,0.664785091492741,,,,0.8088000000000001,0.12383758463576823,0.875,3.0,0.0,3.0,,,,,,,1.0907866,0.3320732543196805,0.9595865,554.620703125,37.09254771053276,557.7578125,0.0,0.0,0.0
synthetic,gmm_oracle,D,1000,0.40553866230897434,0.03201543536106061,0.4005113679241254,0.45994792624218445,0.02145922834094553,0.4472357015411369,,,,0.6421052631578948,0.028335087664986273,0.652,3.0,0.0,3.0,,,,,,,2.823995105263158,0.6626987955158892,2.563358,736.1227384868421,90.31434202097083,761.93359375,0.0,0.0,0.0
synthetic,gmm_oracle,D,2000,0.37101274251182553,0.027315337529196897,0.3780248232240663,0.40047423769104634,0.024964249505866565,0.4018712394847675,,,,0.6286,0.027740635485562673,0.628,3.0,0.0,3.0,,,,,,,12.094835466666666,1.4602108437600894,11.741676,991.5263020833333,116.87095138698675,995.60546875,0.0,0.0,0.0
synthetic,gmm_oracle,D,5000,0.0037774335608829405,0.0034400452402200393,0.0029950130901122,0.00634858634486224,0.0033125978193838386,0.0045090944592385,,,,0.3644,0.012568668528186621,0.367,3.0,0.0,3.0,,,,,,,103.53450046666667,2.65210189802762,103.443264,939.3010416666667,117.45501366759032,993.453125,0.0,0.0,0.0
synthetic,gmm_oracle,N,200,0.03804236502721465,0.04025764840511712,0.0217793984781645,0.04899183920591236,0.03758839479197971,0.0429901201589225,,,,0.433,0.0437443873950868,0.415,3.0,0.0,3.0,,,,,,,1.7109607999999998,0.5558813265019792,1.388605,855.58671875,122.99687075826778,867.38671875,0.0,0.0,0.0
synthetic,gmm_oracle,N,500,0.36633860711649635,0.030454134266737858,0.3568041983441514,0.3913668623731484,0.0335375428739916,0.3986623445647697,,,,0.6256,0.018113925187939986,0.634,3.0,0.0,3.0,,,,,,,1.9308748666666666,0.15430650584000793,1.895559,799.378125,72.4243394984188,811.84375,0.0,0.0,0.0
synthetic,gmm_oracle,N,1000,0.45691797580240273,0.06731817279838258,0.4559902703571759,0.502694136705626,0.06994651973065351,0.4583881690958237,,,,0.6866,0.0675931103843326,0.665,3.0,0.0,3.0,,,,,,,2.8582503333333333,0.5483958302499425,2.507709,861.08828125,65.68729006925706,883.31640625,0.0,0.0,0.0
synthetic,gmm_oracle,N,2000,0.4867650183989491,0.09870941670664098,0.4465585324820108,0.518454087463056,0.06849663125862004,0.4931315934393226,,,,0.7151,0.08431979940339382,0.689,3.0,0.0,3.0,,,,,,,4.565444933333334,0.692814236297196,4.537631,1088.5106770833333,99.31834307559166,1076.9609375,0.0,0.0,0.0
synthetic,gmm_oracle,N,5000,0.9779766717423021,0.0027595195496723612,0.9762108976597886,0.9594269114271292,0.0042640454903851415,0.9570363910935544,,,,0.9925999999999999,0.0009350324669687821,0.992,3.0,0.0,3.0,,,,,,,23.3617434,0.7955076766024326,23.648461,1025.0174479166667,148.98092183868786,1097.06640625,0.0,0.0,0.0
synthetic,kmeans_oracle,D,100,1.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,1.0,3.0,0.0,3.0,,,,,,,0.045347,0.009100465257047953,0.0441075,474.4158203125,11.385143514582653,473.884765625,0.0,0.0,0.0
synthetic,kmeans_oracle,D,500,0.8083876697860081,0.06226444587573361,0.8401601748262775,0.7712095804327245,0.05752798722847925,0.8009242838736389,,,,0.9296,0.0256994777747474,0.943,3.0,0.0,3.0,,,,,,,0.3428482,0.14257853807476367,0.2738385,552.5982421875,39.44441583449365,556.228515625,0.0,0.0,0.0
synthetic,kmeans_oracle,D,1000,0.43515032567143036,0.016079445858364204,0.4369131472345216,0.46650111338013656,0.019717502962206434,0.4608724480029592,,,,0.6931052631578948,0.031037423176335052,0.694,3.0,0.0,3.0,,,,,,,0.42574657894736845,0.08012374770476795,0.395905,740.6221217105264,94.87309839175659,771.2265625,0.0,0.0,0.0
synthetic,kmeans_oracle,D,2000,0.35799333276162687,0.013993868422476857,0.3540902077465151,0.3960705327487278,0.017863272242397935,0.4010876478578403,,,,0.6138,0.03978010988995811,0.62,3.0,0.0,3.0,,,,,,,1.2834076,0.4575149531677782,1.109868,988.5520833333334,117.79690614076723,990.8671875,0.0,0.0,0.0
synthetic,kmeans_oracle,D,5000,0.00805458860413364,0.007894157961628739,0.0068418120906703,0.00839921136767758,0.006230029879648585,0.0073096190530018,,,,0.37720000000000004,0.017188866828768655,0.376,3.0,0.0,3.0,,,,,,,1.0485547333333334,0.39928240730992587,0.919791,936.4721354166667,115.29205547803362,979.30859375,0.0,0.0,0.0
synthetic,kmeans_oracle,N,200,0.05160181582789,0.036387135522828025,0.03869483324588,0.0602987268341595,0.03324177836872628,0.0546612755561403,,,,0.454,0.03808824340546943,0.46,3.0,0.0,3.0,,,,,,,0.06778573333333333,0.08837539228320021,0.039094,857.6036458333333,118.26719763860801,867.38671875,0.0,0.0,0.0
synthetic,kmeans_oracle,N,500,0.3623243768831542,0.023118560442161113,0.359468079919609,0.39357843932377495,0.029024386517896447,0.3949643690944168,,,,0.6132000000000001,0.01664417530034372,0.608,3.0,0.0,3.0,,,,,,,0.2931629333333333,0.13586252759655185,0.226684,799.378125,72.4243394984188,811.84375,0.0,0.0,0.0
synthetic,kmeans_oracle,N,1000,0.5047903179229752,0.03714530923591575,0.5047385502161924,0.536119306581021,0.058007826952210045,0.5155519936685274,,,,0.7454000000000001,0.04010842448022253,0.745,3.0,0.0,3.0,,,,,,,0.5091404,0.25109486662580055,0.378344,861.08828125,65.68729006925706,883.31640625,0.0,0.0,0.0
