experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:09Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.15988907382582468,0.4910020195090925,0.5555555555555556,0.23,26,0.26,0.36818400025367737,0.30448001623153687,35308.1796875,32707.287109375,2600.892578125,34685.38671875,3.1139562129974365,4.809476385999005,0.13925436300087313,3.522453024999777,0.10987022800327395,0.008911795999665628,0.01174151008333259,476.9609375,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed1__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:13Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,1,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.17125497936498343,0.5064250083856665,0.5882352941176471,0.21,24,0.24,0.37093451619148254,0.3144735097885132,35351.40625,32277.173828125,3074.232421875,34696.8203125,3.2729365825653076,3.070004147999498,0.13299651299894322,2.927318104999358,0.08723736099273083,0.009089946999665699,0.009757727016664526,463.62890625,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed2__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:16Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,2,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.218698985708519,0.5377776256675815,0.625,0.245,22,0.22,0.3730936348438263,0.315307080745697,35309.87109375,33064.90234375,2244.96875,34630.234375,3.398192882537842,3.400441944000704,0.12036087799970119,3.2701309439999022,0.09678473499843676,0.009381806999954279,0.010900436479999675,452.26953125,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed3__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:20Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,3,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.20224693655977524,0.5273789906776402,0.6060606060606061,0.29,23,0.23,0.3711279332637787,0.32512786984443665,35358.55078125,33132.40625,2226.14453125,34711.7890625,3.233806610107422,3.679337524001312,0.14878089100056968,3.5190006729990273,0.10382460799337423,0.0107256139999663,0.01173000224333009,461.81640625,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed4__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:23Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,4,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.19338951434651003,0.5118878190104627,0.5882352941176471,0.26,24,0.24,0.3706134855747223,0.3074086904525757,35288.6640625,32550.318359375,2738.345703125,34639.5703125,3.245469570159912,3.706436690999908,0.1771406970001408,3.520886688000246,0.10979638599928876,0.007651337000424974,0.01173628896000082,472.2109375,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed5__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:26Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,5,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.18824044579096127,0.5205788960953687,0.5714285714285714,0.26,25,0.25,0.3710069954395294,0.3143881559371948,35192.8515625,32634.189453125,2558.662109375,34540.23046875,3.2630960941314697,3.0956887869997445,0.1268357900007686,2.9584767569995165,0.08597984000152792,0.009676398000010522,0.009861589189998389,449.9375,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed6__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:30Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,6,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.21405773525589208,0.5215690967340381,0.5714285714285714,0.31,25,0.25,0.36943474411964417,0.31211531162261963,35316.6796875,32738.650390625,2578.029296875,34685.15625,3.157609462738037,3.1856324069995026,0.1295960349998495,3.043924589999733,0.09034684199832554,0.011321326999677694,0.010146415299999111,468.9453125,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed7__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:33Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,7,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.19257526693139612,0.5141513840599985,0.5882352941176471,0.27,24,0.24,0.37032681703567505,0.31438949704170227,35258.28515625,32726.470703125,2531.814453125,34613.28515625,3.2249953746795654,3.432278779999251,0.14062157400076103,3.2834840300001815,0.10180409299391613,0.007563764998849365,0.010944946766667272,449.94921875,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed8__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:37Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,8,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.15544416046707044,0.4940309551746782,0.625,0.225,22,0.22,0.36946895718574524,0.30833762884140015,35224.7578125,32887.91015625,2336.84765625,34604.55078125,3.1010401248931885,3.534533100999397,0.1611235750006017,3.3644241809997766,0.105882294004914,0.008294799999930547,0.011214747269999254,467.76171875,ok,False,,,Tsplit,10.0,80,True
sens_synth__synthetic_n200_d100_fixedseed3101__Tsplit__seed9__divi,run_divi_sensitivity_synth.py,2026-03-25T09:24:40Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_Tsplit,200,100,3,0.1,0.9,3.0,3101,9,divi,1,divi,200.0,1.0,10,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,31,30,10,300,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300]",0.1698370309283664,0.514701546186784,0.6060606060606061,0.215,23,0.23,0.3697289526462555,0.302184134721756,35250.1484375,32497.15234375,2752.99609375,34624.78125,3.126833915710449,3.265892374998657,0.12786384399987583,3.1294301399993856,0.09476581400485884,0.007964290000018082,0.010431433799997952,459.296875,ok,False,,,Tsplit,10.0,80,True
