experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:04Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8857336743749021,0.9127365439703686,0.24691358024691357,0.89,71,0.71,0.587803065776825,0.6130250096321106,34042.99609375,31320.0859375,2722.91015625,32594.275390625,28.974407196044922,2.3324133369987976,0.15303991799919459,0.8984160440013511,0.0028930659991601715,0.0018666530013433658,0.00299472014667117,447.5859375,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed1__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:05Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,1,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.849755436548523,0.8662372059540776,0.2564102564102564,0.85,68,0.68,0.5855456590652466,0.6153473854064941,34050.9609375,31278.359375,2772.6015625,32622.392578125,28.571340560913086,0.9493308400014939,0.1431178219991125,0.8030729360016267,0.0026350660009484272,0.0024751549990469357,0.002676909786672089,451.27734375,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed2__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:06Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,2,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8709470684613785,0.9057611001961952,0.24096385542168675,0.84,73,0.73,0.586168646812439,0.617260217666626,34043.03515625,31539.400390625,2503.634765625,32612.1640625,28.617408752441406,0.9824296409988165,0.14028291500108026,0.8396190070016019,0.0025596010018489324,0.001922637000461691,0.0027987300233386727,452.20703125,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed3__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:07Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,3,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8556071763996861,0.8746239998583802,0.24390243902439024,0.87,72,0.72,0.5891495943069458,0.6177802085876465,34028.2578125,30726.951171875,3301.306640625,32570.703125,29.15111541748047,1.080124103000344,0.1592556979994697,0.9175364980001177,0.002966403999380418,0.0027339629996276926,0.0030584549933337256,452.515625,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed4__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:09Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,4,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8728032139844207,0.9066127929577492,0.25,0.855,70,0.7,0.5888416171073914,0.6178542971611023,34039.828125,31217.578125,2822.25,32584.62109375,29.104135513305664,1.3792735999995784,0.19853003000025637,1.1774885109989555,0.0033245130034629256,0.0024236820008809445,0.003924961703329851,451.67578125,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed5__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:10Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,5,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8768788468816415,0.9085063091968447,0.24096385542168675,0.87,73,0.73,0.5906305909156799,0.608734130859375,34025.89453125,31372.1171875,2653.77734375,32552.4453125,29.468957901000977,1.36041510799987,0.1867574819989386,1.1709534019992134,0.0036715800015372224,0.0018744270000752294,0.0039031780066640445,452.25,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed6__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:11Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,6,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.24390243902439024,0.845,72,0.72,0.5919159054756165,0.6142702102661133,34023.796875,31248.45703125,2775.33984375,32535.7265625,29.76140594482422,0.9944267240007321,0.14452652300133195,0.8472087560003274,0.0026580750018183608,0.0018376589996478288,0.002824029186667758,452.25390625,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed7__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:12Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,7,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.24390243902439024,0.845,72,0.72,0.5872842669487,0.6195176839828491,34028.015625,31584.59375,2443.421875,32586.44921875,28.831356048583984,0.9377377199998591,0.1224647039998672,0.8118546429996059,0.0025341619984828867,0.002653609000844881,0.0027061821433320195,453.16015625,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed8__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:13Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,8,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8521380645481075,0.8730113241452526,0.24691358024691357,0.86,71,0.71,0.5890135169029236,0.6164261698722839,34032.99609375,31189.03125,2843.96484375,32575.421875,29.1514949798584,0.9633414769996307,0.11698510200039891,0.8432181139996828,0.0031979419982235413,0.002563063999332371,0.0028107270466656096,453.16796875,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed9__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:14Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,9,divi,1,divi,50.0,0.25,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8728032139844207,0.9066127929577492,0.24096385542168675,0.855,73,0.73,0.5877246260643005,0.6166439652442932,34040.875,30831.380859375,3209.494140625,32593.779296875,28.941898345947266,0.9710546590013109,0.12545086099999025,0.8430129879998276,0.0036665199986600783,0.0019956659998570103,0.0028100432933327586,449.93359375,ok,False,,,beta_mult,0.25,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:15Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8885515279348168,0.914117942000205,0.3389830508474576,0.895,49,0.49,0.5038219690322876,0.4930189847946167,35319.5546875,32934.9375,2384.6171875,33722.0078125,15.97547721862793,0.9703239259997645,0.1348358779996488,0.8328184620004322,0.0029013929997745436,0.0020688770000560908,0.0027760615400014405,452.56640625,ok,False,,,beta_mult,0.5,1.0,True
