dataset_variant,sensitivity_factor,sensitivity_value,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic_n1000_d100_fixedseed3102,beta_mult,0.25,0.8759419011697155,0.008352637590960995,0.8709916011489143,0.9079565886777855,0.00399241583415338,0.9055992155704856,0.5186294866012452,0.016785817815433708,0.5195681511470984,0.8619,0.023647644937944894,0.8505,4.0,0.0,4.0,28.6,1.2649110640673513,28.5,0.286,0.012649110640673504,0.28500000000000003,2.457989883099981,0.28914025236734175,2.3659450224995453,462.312890625,6.876975393387132,462.591796875,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,beta_mult,0.5,0.8770836745810369,0.01006273744624777,0.8708787969324527,0.908523567873738,0.0048718938723243885,0.9055473426801351,0.8275027870680045,0.030942432379437702,0.8333333333333334,0.8647,0.025206039840570876,0.85,4.0,0.0,4.0,14.2,0.9189365834726813,14.0,0.14200000000000002,0.009189365834726815,0.14,2.5864140144001793,0.2721471565059121,2.592817093499434,466.39140625,4.666629536798902,466.427734375,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,beta_mult,1.0,0.8788609138355623,0.011870540364334142,0.8713154679966384,0.909402763413351,0.00579913224144247,0.9057476503485076,1.0,0.0,1.0,0.8684,0.027757681619488498,0.8525,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.530294092400072,0.19567017140585474,2.523343028500676,468.8734375,4.151009482047959,469.43359375,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,beta_mult,2.0,0.8797875001742828,0.011979474273957973,0.8715067806093921,0.9098440092335703,0.0058050539562328855,0.9058355195886726,1.0,0.0,1.0,0.8711,0.02764235879949468,0.8534999999999999,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.5052955641000154,0.24370154008629766,2.408040692499526,467.736328125,7.459741953096083,467.783203125,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,beta_mult,4.0,0.8801932169765723,0.011862782731542633,0.872428462951458,0.9100347573915256,0.005748169751737391,0.9062604597572554,1.0,0.0,1.0,0.8724999999999999,0.027150813370259593,0.8574999999999999,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.5257833223999113,0.23385655606370484,2.4119477439999173,468.380078125,4.138738617242113,468.052734375,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,beta_mult,0.25,0.8679303649476934,0.011586233832569215,0.8713184771469268,0.896596406211799,0.017707469815845523,0.9059309964406864,0.2454836300242314,0.004860999663122116,0.2439024390243902,0.858,0.015129074290546971,0.855,4.0,0.0,4.0,71.5,1.5811388300841906,72.0,0.715,0.015811388300841875,0.72,1.1950547209000433,0.4325627326439747,0.9884281824997742,451.602734375,1.6980035864926117,452.228515625,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,beta_mult,0.5,0.8718976139611494,0.0079989561983308,0.8713184771469268,0.9032599237219046,0.009366849725721778,0.9059309964406864,0.3391214740533391,0.007276329645047523,0.33615819209039544,0.8554999999999999,0.016906606203887706,0.8474999999999999,4.0,0.0,4.0,49.0,1.2472191289246477,49.5,0.49000000000000005,0.01247219128924648,0.495,1.0264819527999862,0.15457352016096587,0.9680468449996624,452.198046875,0.8324988701258648,452.568359375,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,beta_mult,1.0,0.8730117347496018,0.0024075927062518878,0.8719372920321685,0.9067139402421682,0.001114300364299505,0.9062146470278732,0.5558205264087618,0.012987877120001873,0.5555555555555556,0.8525,0.012304019216861178,0.85,4.0,0.0,4.0,26.0,0.8164965809277259,26.0,0.26,0.008164965809277258,0.26,0.9776972125999237,0.08947261663984915,0.9435662314999718,452.775390625,0.2594006874202808,452.919921875,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,beta_mult,2.0,0.8729375435811949,0.0024059640657209777,0.8723702530082946,0.9066797585077694,0.0011172028596698662,0.9064137199928113,0.7301587301587301,0.01366131691783916,0.7407407407407407,0.8525,0.011606990230986767,0.8525,4.0,0.0,4.0,17.4,0.5163977794943225,17.0,0.174,0.00516397779494321,0.17,0.884539207799753,0.14031307054054787,0.8409994754993022,453.0234375,0.3228116428675546,453.265625,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,beta_mult,4.0,0.8733811566840239,0.0032947351765757315,0.8719372920321685,0.906888901806794,0.0015348310949803966,0.9062146470278732,0.7784615384615385,0.014862950508912265,0.7692307692307693,0.8535,0.013954290459289628,0.85,4.0,0.0,4.0,15.7,0.4830458915396482,16.0,0.157,0.004830458915396483,0.16,0.9967639500000587,0.16824392060307863,0.9261777970004914,453.3,0.008792678654260585,453.30078125,3.0,0.0,3.0
