experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:39Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8916085247562625,0.9156368043153856,0.625,0.9,22,0.22,0.37422072887420654,0.30720794200897217,36194.18359375,34097.18359375,2097.0,35568.265625,3.129598617553711,2.3841616340032488,0.23628791800001636,0.7112539770023432,0.0038178439972398337,0.0017183179988933261,0.0023708465900078106,451.484375,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed1__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:40Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,1,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8512684277706501,0.8836441108879578,0.625,0.835,22,0.22,0.3744453489780426,0.3055521249771118,36188.67578125,33974.96875,2213.70703125,35561.71875,3.1347885131835938,0.810836474000098,0.11539883200020995,0.6925838149982155,0.0023338069986493792,0.0022763349988963455,0.0023086127166607184,452.32421875,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed2__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:41Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,2,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8759537901925242,0.8939368045504763,0.6451612903225806,0.895,21,0.21,0.37512433528900146,0.32911407947540283,36221.18359375,34540.72265625,1680.4609375,35584.703125,3.182410955429077,0.8108322950029105,0.11596695300249849,0.6925652280006034,0.0022560459983651526,0.001741120002407115,0.0023085507600020113,452.33203125,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed3__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:41Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,3,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8503009439903919,0.857179623999441,0.625,0.88,22,0.22,0.37398338317871094,0.31599169969558716,36262.58203125,34238.77734375,2023.8046875,35639.4765625,3.1155221462249756,0.8028302319980867,0.11410082000293187,0.6866280539979925,0.0022466269983851817,0.0015301409985113423,0.0022887601799933084,448.0625,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed4__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:42Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,4,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8306546054887576,0.8588352548679107,0.6451612903225806,0.835,21,0.21,0.37199732661247253,0.3088092803955078,36241.51171875,34464.921875,1776.58984375,35643.1875,2.9916300773620605,0.8254008200019598,0.12954237399753765,0.6934978850003972,0.0026442030030011665,0.00158150800052681,0.0023116596166679907,451.73046875,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed5__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:43Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,5,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8739158247239887,0.9071264832528719,0.6451612903225806,0.86,21,0.21,0.3735739588737488,0.31769973039627075,36228.53125,34319.53125,1909.0,35612.14453125,3.0819251537323,0.8527877670021553,0.11688867200064124,0.7332664910027233,0.002350520000618417,0.0020829829991271254,0.0024442216366757446,448.50390625,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed6__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:44Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,6,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8831563056364267,0.9114882454681423,0.6451612903225806,0.885,21,0.21,0.3706543445587158,0.2974684536457062,36178.9453125,34543.28125,1635.6640625,35593.921875,2.925124168395996,0.8057810550017166,0.11365358599869069,0.6893755569981295,0.0022373619976860937,0.0021833300015714485,0.002297918523327098,451.89453125,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed7__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:45Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,7,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8539723286265976,0.8608956732975749,0.6451612903225806,0.89,21,0.21,0.3719836175441742,0.31030726432800293,36255.7265625,34517.2421875,1738.484375,35656.03125,2.998471260070801,0.842534497998713,0.12637069300035364,0.713884684999357,0.0024416699998255353,0.001693571000942029,0.002379615616664523,447.90234375,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed8__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:46Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,8,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8529950559347935,0.8844322445586499,0.6060606060606061,0.845,23,0.23,0.3739870488643646,0.31664812564849854,36195.30078125,33787.51953125,2407.78125,35572.0078125,3.1164724826812744,0.8286743270000443,0.11822256400046172,0.7081830130009621,0.0024882779980544,0.0017351250025967602,0.0023606100433365405,451.140625,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed9__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:47Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,9,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.005,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8831563056364267,0.9114882454681423,0.625,0.885,22,0.22,0.37261250615119934,0.3058326244354248,36177.265625,33959.01171875,2218.25390625,35569.078125,3.0409297943115234,0.8502096789998177,0.1328342340020754,0.7145362800001749,0.002368700999795692,0.002060377999441698,0.002381787600000583,447.91015625,ok,False,,,lr,0.005,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:48Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8768788468816415,0.9085063091968447,0.5555555555555556,0.87,26,0.26,0.4033045470714569,0.3418942093849182,36114.3671875,33926.39453125,2187.97265625,35069.875,5.222455978393555,1.1217542470003536,0.11965325499841128,0.9991663620021427,0.0036933849987690337,0.0023364599983324297,0.003330554540007142,447.921875,ok,False,,,lr,0.01,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed1__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:49Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,1,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8752745873288594,0.9077570869667239,0.5555555555555556,0.865,26,0.26,0.4020082950592041,0.33538389205932617,36108.59765625,33454.0859375,2654.51171875,35087.42578125,5.105858325958252,1.2498983960031183,0.17367435900087003,1.072639773003175,0.00351328599936096,0.0028218589977768715,0.0035754659100105833,451.46875,ok,False,,,lr,0.01,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed2__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:50Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,2,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8728032139844207,0.9066127929577492,0.5405405405405406,0.855,27,0.27,0.40660008788108826,0.369909405708313,36112.85546875,34019.36328125,2093.4921875,35013.38671875,5.497335910797119,1.1729476370019256,0.19756431400310248,0.9729989510015002,0.0036952439986635,0.0016545950020372402,0.0032433298366716674,447.93359375,ok,False,,,lr,0.01,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed3__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:51Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,3,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8719372920321685,0.9062146470278732,0.5555555555555556,0.85,26,0.26,0.40264153480529785,0.3604307770729065,36106.2578125,33544.24609375,2562.01171875,35068.640625,5.188094139099121,0.826972818998911,0.12096261300030164,0.7033842729979369,0.0023670449991186615,0.0020583049990818836,0.0023446142433264563,451.2421875,ok,False,,,lr,0.01,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed4__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:52Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,4,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8719372920321685,0.9062146470278732,0.5555555555555556,0.85,26,0.26,0.40158212184906006,0.3524704575538635,36102.453125,34084.38671875,2018.06640625,35083.82421875,5.093147277832031,0.8356016039979295,0.12890430100014783,0.7045164139999542,0.002476720004779054,0.0015999120005290024,0.0023483880466665143,451.24609375,ok,False,,,lr,0.01,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed5__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:53Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,5,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.5555555555555556,0.845,26,0.26,0.4033753275871277,0.3542932868003845,36103.28515625,33705.17578125,2398.109375,35061.23828125,5.2102437019348145,0.8248167539968563,0.11427218999961042,0.708004133997747,0.002675393996469211,0.001883729000837775,0.00236001377999249,451.48046875,ok,False,,,lr,0.01,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed6__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:53Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,6,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8708232455998861,0.905704516970206,0.5555555555555556,0.835,26,0.26,0.4005756676197052,0.3377535939216614,36116.6484375,34031.90625,2084.7421875,35105.15234375,5.057473659515381,0.8519205279990274,0.11723866399916005,0.7322562570006994,0.0023727520019747317,0.0018542790021456312,0.0024408541900023313,451.18359375,ok,False,,,lr,0.01,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed7__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:54Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,7,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.5882352941176471,0.845,24,0.24,0.399139404296875,0.3401920199394226,36101.66796875,34154.51953125,1947.1484375,35115.4296875,4.931188583374023,0.8274184750007407,0.11763382500066655,0.7076066369991167,0.002301175998582039,0.001637985998968361,0.002358688789997056,451.1875,ok,False,,,lr,0.01,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed8__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:55Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,8,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8768788468816415,0.9085063091968447,0.5555555555555556,0.87,26,0.26,0.4040842056274414,0.35737544298171997,36119.81640625,33540.44140625,2579.375,35054.96875,5.324247360229492,0.8042755989990837,0.11422735599990119,0.6877809500001604,0.0023049270021147095,0.0017000830011966173,0.002292603166667201,451.796875,ok,False,,,lr,0.01,0.01,True
