experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:11Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8768788468816415,0.9085063091968447,0.5555555555555556,0.87,26,0.26,0.4033045470714569,0.3418942093849182,36114.3671875,33926.39453125,2187.97265625,35069.875,5.222455978393555,2.7516389729989896,0.20594978900044225,0.8802305239987618,0.0031432349987881025,0.0023521319999417756,0.0029341017466625392,452.5859375,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed1__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:12Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,1,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8752745873288594,0.9077570869667239,0.5555555555555556,0.865,26,0.26,0.4020082950592041,0.33538389205932617,36108.59765625,33454.0859375,2654.51171875,35087.42578125,5.105858325958252,0.9417224130011164,0.1475630490003823,0.7913879759998963,0.002782528998068301,0.001965684999959194,0.002637959919999654,452.8203125,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed2__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:13Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,2,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8728032139844207,0.9066127929577492,0.5405405405405406,0.855,27,0.27,0.40660008788108826,0.369909405708313,36112.85546875,34019.36328125,2093.4921875,35013.38671875,5.497335910797119,1.002877623999666,0.1319063399987499,0.8684744380007032,0.002612182999655488,0.0017827929987106472,0.0028949147933356773,450.3671875,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed3__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:14Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,3,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8719372920321685,0.9062146470278732,0.5555555555555556,0.85,26,0.26,0.40264153480529785,0.3604307770729065,36106.2578125,33544.24609375,2562.01171875,35068.640625,5.188094139099121,0.9866069309991872,0.13435865699830174,0.8494411379997473,0.002989335000165738,0.00221897200026433,0.0028314704599991577,452.05078125,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed4__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:15Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,4,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8719372920321685,0.9062146470278732,0.5555555555555556,0.85,26,0.26,0.40158212184906006,0.3524704575538635,36102.453125,34084.38671875,2018.06640625,35083.82421875,5.093147277832031,0.9393311139992875,0.1307103039998765,0.8059784209999634,0.002610250998259289,0.002009629999520257,0.0026865947366665447,451.23046875,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed5__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:16Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,5,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.5555555555555556,0.845,26,0.26,0.4033753275871277,0.3542932868003845,36103.28515625,33705.17578125,2398.109375,35061.23828125,5.2102437019348145,1.0007668870002817,0.12509708700054034,0.8727060370001709,0.0033809909982664976,0.0024325429985765368,0.002909020123333903,452.59765625,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed6__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:17Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,6,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8708232455998861,0.905704516970206,0.5555555555555556,0.835,26,0.26,0.4005756676197052,0.3377535939216614,36116.6484375,34031.90625,2084.7421875,35105.15234375,5.057473659515381,0.9613558639994153,0.1295459299999493,0.829064395999012,0.00268923600197013,0.0021363650012062863,0.0027635479866633737,448.63671875,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed7__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:18Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,7,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.5882352941176471,0.845,24,0.24,0.399139404296875,0.3401920199394226,36101.66796875,34154.51953125,1947.1484375,35115.4296875,4.931188583374023,0.9827999659992201,0.13681792900024448,0.8431895230005466,0.002771106001091539,0.002152242999727605,0.002810631743335155,452.83984375,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed8__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:19Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,8,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8768788468816415,0.9085063091968447,0.5555555555555556,0.87,26,0.26,0.4040842056274414,0.35737544298171997,36119.81640625,33540.44140625,2579.375,35054.96875,5.324247360229492,0.9606329739999637,0.128891451000527,0.8291239160007535,0.0030566179993911646,0.002016180000282475,0.0027637463866691785,451.6171875,ok,False,,,tau_mult,0.9,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__tau_mult__seed9__divi,run_divi_sensitivity_synth.py,2026-03-25T09:30:20Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_tau_mult,200,100,3,0.1,0.9,3.0,3101,9,divi,1,divi,200.0,1.0,80,manual_mult,127.70446798842053,0.9,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8709470684613785,0.9057611001961952,0.5405405405405406,0.84,27,0.27,0.40041789412498474,0.3452681303024292,36113.828125,33727.671875,2386.15625,35103.734375,5.050462245941162,0.9666390560014406,0.12614468799984024,0.8376470089988288,0.00273255899992364,0.002208895999501692,0.0027921566966627627,451.703125,ok,False,,,tau_mult,0.9,1.0,True
