experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:45Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8787278312572997,0.9093762115748875,0.7407407407407407,0.875,17,0.17,0.3547077178955078,0.28669190406799316,36196.99609375,34062.58203125,2134.4140625,35723.734375,2.3663136959075928,2.0853668230010953,0.1609987629999523,0.8229427879996365,0.002786034001474036,0.001789320998796029,0.002743142626665455,451.50390625,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed1__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:46Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,1,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8739158247239887,0.9071264832528719,0.6666666666666666,0.86,20,0.2,0.3569757044315338,0.2933466136455536,36177.6796875,33330.4140625,2847.265625,35692.13671875,2.4277119636535645,0.9633196830000088,0.1320608389978588,0.8289210780021676,0.0026243040047120303,0.0017375440002069809,0.0027630702600072252,451.72265625,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed2__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:47Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,2,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8719372920321685,0.9062146470278732,0.6896551724137931,0.85,19,0.19,0.3572970926761627,0.3151114583015442,36176.21484375,33959.26171875,2216.953125,35676.41015625,2.499032735824585,0.9241770740009088,0.11586795000039274,0.8058755689999089,0.0024401720074820332,0.0018647649994818494,0.002686251896666363,448.48828125,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed3__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:48Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,3,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8709470684613785,0.9057611001961952,0.6666666666666666,0.84,20,0.2,0.3456917703151703,0.28851082921028137,36211.52734375,33573.1875,2638.33984375,35834.33984375,1.8859436511993408,0.9870560439994733,0.12418979699941701,0.8604934149989276,0.0028439260022423696,0.0017962870006158482,0.0028683113833297587,452.03515625,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed4__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:49Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,4,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8739158247239887,0.9071264832528719,0.7142857142857143,0.86,18,0.18,0.34647929668426514,0.29383838176727295,36228.4453125,34106.26953125,2122.17578125,35822.1953125,2.031247138977051,0.9638255360005132,0.11632698800167418,0.8447746569981973,0.002543602997320704,0.0021566549985436723,0.002815915523327324,451.73828125,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed5__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:50Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,5,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8719372920321685,0.9062146470278732,0.6896551724137931,0.85,19,0.19,0.3532465994358063,0.297452449798584,36181.70703125,33747.3125,2434.39453125,35733.7109375,2.2399742603302,1.2211056129999633,0.11815850899802172,1.0977777270018123,0.0033574180015421007,0.004560588000458665,0.003659259090006041,451.7421875,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed6__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:51Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,6,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8709470684613785,0.9057611001961952,0.6666666666666666,0.84,20,0.2,0.3424713611602783,0.25891709327697754,36253.14453125,34221.98046875,2031.1640625,35885.3671875,1.8388792276382446,1.3762998460006202,0.17327518399906694,1.2000107940002636,0.003474199998890981,0.002286315997480415,0.004000035980000879,451.74609375,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed7__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:52Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,7,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8709470684613785,0.9057611001961952,0.6896551724137931,0.84,19,0.19,0.35499587655067444,0.29148414731025696,36187.109375,34167.640625,2019.46875,35710.359375,2.3837525844573975,1.0868325749979704,0.1878562910023902,0.8952758919986081,0.002765591998468153,0.0029159989971958566,0.002984252973328694,452.36328125,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed8__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:53Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,8,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8768788468816415,0.9085063091968447,0.6451612903225806,0.87,21,0.21,0.3546416163444519,0.30081993341445923,36209.08984375,33667.79296875,2541.296875,35720.0390625,2.4452457427978516,0.996165975000622,0.1212709259998519,0.8725122700016072,0.0025196110000251792,0.001831757999752881,0.002908374233338691,451.44921875,ok,False,,,temp_end,0.01,0.1,True
sens_synth__synthetic_n200_d100_fixedseed3101__temp_end__seed9__divi,run_divi_sensitivity_synth.py,2026-03-25T13:25:54Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_temp_end,200,100,3,0.1,0.9,3.0,3101,9,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.01,300,300,4,3,80,240,"[80, 160, 240]",0.8709470684613785,0.9057611001961952,0.6666666666666666,0.84,20,0.2,0.3526720404624939,0.29769599437713623,36204.28515625,33610.609375,2593.67578125,35744.078125,2.3010292053222656,0.967403253998782,0.12577084100121283,0.8378181350017258,0.0024283599959744606,0.0032213770027738065,0.002792727116672419,452.4453125,ok,False,,,temp_end,0.01,0.1,True
