scenario,n,d,d_info,k_true,delta,noise_sd,seed,split_interval,split_burn_in,split_persistence,split_warmup_epochs,split_accept_tol_per_sample,min_cluster_size_for_split,method,status,error,ARI,NMI,runtime_sec,final_K,over_split,under_split,correct_K,split_proposals,accepted_splits,rejected_splits,active_dims,feature_f1_thresh,feature_f1_topd,split_history_json
matched_sparse_gaussian,200,100,10,3,2.0,3.0,1,60,120,2,20,0.001,25,original,ok,,0.6819390393852095,0.7913985802259049,2.5066543289995025,6,1,0,0,4,4,0,20,0.6666666666666666,1.0,[]
matched_sparse_gaussian,200,100,10,3,2.0,3.0,1,60,120,2,20,0.001,25,burnin_only,ok,,0.821247531922528,0.8589149157157362,1.0048752869988675,5,1,0,0,4,4,0,19,0.6896551724137931,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 120, ""diagnostic_score"": 185.26512145996094, ""cluster_size"": 200, ""persistence_count"": 1}, {""split_idx"": 1, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 180.9214324951172, ""cluster_size"": 98, ""persistence_count"": 1}, {""split_idx"": 1, ""old_K"": 3, ""proposed_K"": 4, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 240, ""diagnostic_score"": 178.2869415283203, ""cluster_size"": 68, ""persistence_count"": 1}, {""split_idx"": 2, ""old_K"": 4, ""proposed_K"": 5, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 178.16644287109375, ""cluster_size"": 36, ""persistence_count"": 1}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,1,60,120,2,20,0.001,25,burnin_persistence,ok,,0.41126507311812266,0.4668157821898179,0.8084048430009716,3,0,0,1,2,2,0,23,0.6060606060606061,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 184.0500946044922, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 179.67474365234375, ""cluster_size"": 107, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,1,60,120,2,20,0.001,25,full_safeguard,ok,,0.9409304304319847,0.9181192087635595,1.044599034001294,3,0,0,1,2,2,0,22,0.625,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": 37539.5, ""split_loss"": 37324.66796875, ""improvement"": 214.83203125, ""improvement_per_sample"": 1.07416015625, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 180, ""diagnostic_score"": 184.0500946044922, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": 36836.8515625, ""split_loss"": 36677.62109375, ""improvement"": 159.23046875, ""improvement_per_sample"": 0.79615234375, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 300, ""diagnostic_score"": 179.65744018554688, ""cluster_size"": 111, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,2,60,120,2,20,0.001,25,original,ok,,0.6930631414911862,0.794058878473898,1.031252509999831,6,1,0,0,4,4,0,22,0.625,1.0,[]
matched_sparse_gaussian,200,100,10,3,2.0,3.0,2,60,120,2,20,0.001,25,burnin_only,ok,,0.7365408582156409,0.8300465553166161,0.9488334329998906,5,1,0,0,4,4,0,20,0.6666666666666666,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 120, ""diagnostic_score"": 185.96324157714844, ""cluster_size"": 200, ""persistence_count"": 1}, {""split_idx"": 1, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 181.83885192871094, ""cluster_size"": 101, ""persistence_count"": 1}, {""split_idx"": 2, ""old_K"": 3, ""proposed_K"": 4, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 240, ""diagnostic_score"": 179.4130859375, ""cluster_size"": 65, ""persistence_count"": 1}, {""split_idx"": 0, ""old_K"": 4, ""proposed_K"": 5, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 178.7782745361328, ""cluster_size"": 66, ""persistence_count"": 1}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,2,60,120,2,20,0.001,25,burnin_persistence,ok,,0.37928764856451386,0.44727760343702044,0.8880088109999633,3,0,0,1,2,2,0,23,0.6060606060606061,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 184.56956481933594, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 180.13832092285156, ""cluster_size"": 102, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,2,60,120,2,20,0.001,25,full_safeguard,ok,,0.8851452328494422,0.8726444798278077,1.4210895269989123,3,0,0,1,2,2,0,23,0.6060606060606061,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": 37633.78125, ""split_loss"": 37363.734375, ""improvement"": 270.046875, ""improvement_per_sample"": 1.350234375, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 180, ""diagnostic_score"": 184.56956481933594, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": 36949.4765625, ""split_loss"": 36851.953125, ""improvement"": 97.5234375, ""improvement_per_sample"": 0.4876171875, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 300, ""diagnostic_score"": 180.2593231201172, ""cluster_size"": 106, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,3,60,120,2,20,0.001,25,original,ok,,0.5800668034431852,0.7641677485071814,1.5146974309991492,6,1,0,0,4,4,0,29,0.5128205128205128,1.0,[]
matched_sparse_gaussian,200,100,10,3,2.0,3.0,3,60,120,2,20,0.001,25,burnin_only,ok,,0.8413191338546873,0.8675271995922041,1.3257688419998885,5,1,0,0,4,4,0,31,0.4878048780487805,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 120, ""diagnostic_score"": 182.3910675048828, ""cluster_size"": 200, ""persistence_count"": 1}, {""split_idx"": 1, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 178.38526916503906, ""cluster_size"": 104, ""persistence_count"": 1}, {""split_idx"": 1, ""old_K"": 3, ""proposed_K"": 4, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 240, ""diagnostic_score"": 175.41867065429688, ""cluster_size"": 66, ""persistence_count"": 1}, {""split_idx"": 3, ""old_K"": 4, ""proposed_K"": 5, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 174.36798095703125, ""cluster_size"": 30, ""persistence_count"": 1}]"
