n,x,y,method,correlation,p_value,replicates
200,rough_ari,final_ari,pearson,0.2139189464692825,0.36513615349354234,20
200,rough_ari,final_ari,spearman,0.1789473684210526,0.45032544160933996,20
200,prior_auprc,final_ari,pearson,,,20
200,prior_auprc,final_ari,spearman,,,20
200,prior_auprc,final_f1_thresh,pearson,,,20
200,prior_auprc,final_f1_thresh,spearman,,,20
200,prior_f1_top,final_f1_top,pearson,,,20
200,prior_f1_top,final_f1_top,spearman,,,20
200,rough_ari,delta_ari,pearson,-0.022869067380731307,0.9237586556966064,20
200,rough_ari,delta_ari,spearman,-0.1639097744360902,0.4898669433807742,20
200,prior_auprc,delta_auprc,pearson,,,20
200,prior_auprc,delta_auprc,spearman,,,20
1000,rough_ari,final_ari,pearson,0.3126246758003687,0.1795940487008859,20
1000,rough_ari,final_ari,spearman,0.193984962406015,0.4125038246613568,20
1000,prior_auprc,final_ari,pearson,,,20
1000,prior_auprc,final_ari,spearman,,,20
1000,prior_auprc,final_f1_thresh,pearson,,,20
1000,prior_auprc,final_f1_thresh,spearman,,,20
1000,prior_f1_top,final_f1_top,pearson,,,20
1000,prior_f1_top,final_f1_top,spearman,,,20
1000,rough_ari,delta_ari,pearson,-0.8561524809687096,1.4681070051806847e-06,20
1000,rough_ari,delta_ari,spearman,-0.8541353383458646,1.6513222736058668e-06,20
1000,prior_auprc,delta_auprc,pearson,,,20
1000,prior_auprc,delta_auprc,spearman,,,20
