N,Method,K_mean,K_sd,ARI_mean,ARI_sd,NMI_mean,NMI_sd,F1_mean,F1_sd
200,DIVI-Info,3.0,0.0,0.990262,0.010880,0.984627,0.017177,0.771619,0.09930329
200,DIVI-NonInfo,3.0,0.0,0.867589,0.204971,0.877643,0.165744,0.181818,2.775558e-17
200,DIVI-Random,3.0,0.0,0.699840,0.235119,0.727532,0.191043,0.186131,0.02729189
200,GMM,3.0,0.0,0.991756,0.010047,0.986991,0.015829,,
200,K-Means,3.0,0.0,0.908818,0.048178,0.884840,0.052792,,
200,SPKM,3.0,0.0,0.993245,0.010038,0.989353,0.015827,0.183838,0.001659166
1000,DIVI-Info,3.0,0.0,0.994910,0.004018,0.990257,0.007050,0.990476,0.01904762
1000,DIVI-NonInfo,3.0,0.0,0.947364,0.130953,0.950709,0.101690,0.181818,2.775558e-17
1000,DIVI-Random,3.0,0.0,0.896106,0.154722,0.892588,0.129580,0.186120,0.02719487
1000,GMM,3.0,0.0,0.995355,0.003842,0.990734,0.007475,,
1000,K-Means,3.0,0.0,0.992070,0.005528,0.984622,0.010261,,
1000,SPKM,3.0,0.0,0.996253,0.003263,0.992530,0.006336,0.189620,0.002992208
