n,seed,d,d_info,delta,status,error,ARI,NMI,converged,n_iter,method,dimensions_used,feature_f1,runtime_sec,pca_variance_explained,mean_selected_score
200,1,100,10,2.0,ok,,0.9135071816281082,0.9069378303867457,True,9,PCA+diag-GMM,50,,0.15706327199950465,0.8133350186136206,
200,1,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.0379367519999505,,0.414226039366498
200,2,100,10,2.0,ok,,0.2481057938494012,0.378479831676626,True,26,PCA+diag-GMM,50,,0.12165593300051114,0.8131700535611474,
200,2,100,10,2.0,ok,,1.0,1.0,True,3,LaplacianScore+diag-GMM,10,1.0,0.03960380399985297,,0.44986289408165164
200,3,100,10,2.0,ok,,0.9700038858602408,0.9589289790781194,True,5,PCA+diag-GMM,50,,0.14844407100099488,0.8175086319669336,
200,3,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.03923187999862421,,0.3939774675270448
200,4,100,10,2.0,ok,,0.9849996249906248,0.9763460183015862,True,5,PCA+diag-GMM,50,,0.09719769600087602,0.813672249852424,
200,4,100,10,2.0,ok,,0.9849996249906248,0.9763460183015862,True,3,LaplacianScore+diag-GMM,10,1.0,0.04156957099985448,,0.44351481653129043
200,5,100,10,2.0,ok,,0.9700015680998493,0.9526893130045085,True,4,PCA+diag-GMM,50,,0.11432326199974341,0.8169090611779909,
200,5,100,10,2.0,ok,,0.9849996249906248,0.9763460183015862,True,2,LaplacianScore+diag-GMM,10,1.0,0.038508808000187855,,0.40489355261873194
200,6,100,10,2.0,ok,,1.0,1.0,True,10,PCA+diag-GMM,50,,0.11761752999882447,0.8161302028222504,
200,6,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.04475931600063632,,0.42529681956619464
200,7,100,10,2.0,ok,,0.9849996249906248,0.9763460183015862,True,4,PCA+diag-GMM,50,,0.11298993200034602,0.813372196154281,
200,7,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.03530210799908673,,0.4279426133777678
200,8,100,10,2.0,ok,,0.43764355128148,0.5045236924658408,True,8,PCA+diag-GMM,50,,0.11835497799984296,0.8135287884433998,
200,8,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.037180545999945025,,0.3847144267431508
200,9,100,10,2.0,ok,,0.9699992499812495,0.952692036603173,True,5,PCA+diag-GMM,50,,0.09941592699942703,0.8134745840605494,
200,9,100,10,2.0,ok,,0.9700038858602408,0.9589289790781194,True,2,LaplacianScore+diag-GMM,10,1.0,0.03890148000027693,,0.43027217676522833
200,10,100,10,2.0,ok,,0.18045358459866231,0.2667835718622298,True,40,PCA+diag-GMM,50,,0.17281154400006926,0.8120132379097965,
200,10,100,10,2.0,ok,,0.9848865697285946,0.9763112474994169,True,2,LaplacianScore+diag-GMM,10,1.0,0.036209587000485044,,0.4098688097517441
200,11,100,10,2.0,ok,,0.43070822079147314,0.5603049717988353,True,19,PCA+diag-GMM,50,,0.16346904000056384,0.8132261088563604,
200,11,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.05811936399913975,,0.44064450182691023
200,12,100,10,2.0,ok,,0.9700015680998493,0.9526893130045085,True,9,PCA+diag-GMM,50,,0.1243181089994323,0.814947794373904,
200,12,100,10,2.0,ok,,0.9702265283904825,0.9527609983309226,True,2,LaplacianScore+diag-GMM,10,1.0,0.03682018200015591,,0.39126250735861456
200,13,100,10,2.0,ok,,0.9699992499812495,0.9526920366031736,True,4,PCA+diag-GMM,50,,0.10861247799948615,0.8148857574046791,
200,13,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.03466681099962443,,0.42562431739683204
200,14,100,10,2.0,ok,,0.9850007840499246,0.9763449138590041,True,6,PCA+diag-GMM,50,,0.14737737200084666,0.817877437271315,
200,14,100,10,2.0,ok,,0.9850007840499246,0.9763449138590041,True,2,LaplacianScore+diag-GMM,10,1.0,0.03842018400064262,,0.4006899896230215
200,15,100,10,2.0,ok,,0.9553553171476478,0.9439234090278289,True,7,PCA+diag-GMM,50,,0.11556900600044173,0.8120371507829406,
200,15,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.03957494499991299,,0.46260020665309065
200,16,100,10,2.0,ok,,0.9849996249906248,0.9763460183015862,True,4,PCA+diag-GMM,50,,0.13898288199925446,0.8135636543869714,
200,16,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.034983464000106324,,0.39370002267626913
200,17,100,10,2.0,ok,,0.9848865697285946,0.9763112474994169,True,12,PCA+diag-GMM,50,,0.10828865899929951,0.8121792547377862,
200,17,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.03334452799936116,,0.42082828637936265
200,18,100,10,2.0,ok,,0.9702288289475778,0.9589991862510546,True,14,PCA+diag-GMM,50,,0.10868617499909305,0.8131615137016699,
200,18,100,10,2.0,ok,,0.9849996249906248,0.9763460183015862,True,2,LaplacianScore+diag-GMM,10,1.0,0.03963757800011081,,0.4430913503981063
200,19,100,10,2.0,ok,,1.0,1.0,True,7,PCA+diag-GMM,50,,0.10131391800132405,0.8135947602802202,
200,19,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.03570952100017166,,0.4817940738061516
200,20,100,10,2.0,ok,,0.9702288289475778,0.9589991862510547,True,13,PCA+diag-GMM,50,,0.13525442999889492,0.8115023323870397,
