delta,seed,n,d,d_info,k,method,ARI,NMI,runtime_sec,dimensions_used,feature_f1,feature_auroc,feature_auprc,true_selected,false_selected,converged,n_iter,status,error
1.0,1,200,500,10,3,LaplacianScore+diag-GMM,0.346010555389636,0.3915764178323699,0.1270221049999236,10,0.5,0.9804081632653061,0.6252864652944845,5,5,True,20,ok,
1.0,2,200,500,10,3,LaplacianScore+diag-GMM,0.5630856692099501,0.5535525253756214,0.06565429199872597,10,0.8,0.9983673469387755,0.9332467532467531,8,2,True,4,ok,
1.0,3,200,500,10,3,LaplacianScore+diag-GMM,0.304723906866732,0.32746161749337577,0.10075582800163829,10,0.3,0.8869387755102041,0.29768732157162914,3,7,True,13,ok,
1.0,4,200,500,10,3,LaplacianScore+diag-GMM,0.6234421893567175,0.6174904602416381,0.058216729001287604,10,0.9,0.9991836734693877,0.9714285714285714,9,1,True,4,ok,
1.0,5,200,500,10,3,LaplacianScore+diag-GMM,0.5243187674106083,0.5703943753284463,0.07089138700030162,10,0.7,0.9908163265306122,0.7360091575091574,7,3,True,15,ok,
1.0,6,200,500,10,3,LaplacianScore+diag-GMM,0.6653199672094867,0.6784356653992204,0.06429251599911368,10,0.9,0.9989795918367347,0.9558119658119658,9,1,True,4,ok,
1.0,7,200,500,10,3,LaplacianScore+diag-GMM,0.6076724847182653,0.5812723018985663,0.08492751199992199,10,0.6,0.9842857142857142,0.6133998248128681,6,4,True,25,ok,
1.0,8,200,500,10,3,LaplacianScore+diag-GMM,0.6582413024904419,0.6440071638717506,0.11358406799990917,10,0.7,0.993265306122449,0.8366666666666666,7,3,True,14,ok,
1.0,9,200,500,10,3,LaplacianScore+diag-GMM,0.5230076039985071,0.5435379305143573,0.08911056400029338,10,0.7,0.9891836734693877,0.7877098357073324,7,3,True,5,ok,
1.0,10,200,500,10,3,LaplacianScore+diag-GMM,0.556065182955985,0.5433996146704551,0.07594836099997337,10,0.7,0.9714285714285715,0.7916239316239315,7,3,True,4,ok,
1.0,11,200,500,10,3,LaplacianScore+diag-GMM,0.5416935875108149,0.5606382002426918,0.08653843899992353,10,0.6,0.963265306122449,0.6989336573484798,6,4,True,15,ok,
1.0,12,200,500,10,3,LaplacianScore+diag-GMM,0.8428916122524095,0.7965812359282306,0.045198861000244506,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.0,13,200,500,10,3,LaplacianScore+diag-GMM,0.4342902482702647,0.5100920007681968,0.09820793899962155,10,0.6,0.9406122448979592,0.5788428831720506,6,4,True,3,ok,
1.0,14,200,500,10,3,LaplacianScore+diag-GMM,0.6170736628751896,0.5911154670642245,0.08023671199953242,10,0.9,0.9991836734693877,0.9714285714285714,9,1,True,6,ok,
1.0,15,200,500,10,3,LaplacianScore+diag-GMM,0.4346792606261533,0.4438177994703208,0.09845781399963016,10,0.6,0.9895918367346939,0.7662263184843829,6,4,True,15,ok,
1.0,16,200,500,10,3,LaplacianScore+diag-GMM,0.5632810920925035,0.545240836086253,0.0693873110012646,10,0.7,0.9934693877551021,0.8212591575091573,7,3,True,4,ok,
1.0,17,200,500,10,3,LaplacianScore+diag-GMM,0.7142967496853289,0.6729728562323427,0.04335049799919943,10,0.9,0.9993877551020408,0.9697979797979798,9,1,True,3,ok,
1.0,18,200,500,10,3,LaplacianScore+diag-GMM,0.5335051604306313,0.5602347038551432,0.09605194899995695,10,0.6,0.9714285714285714,0.7256457578333557,6,4,True,9,ok,
1.0,19,200,500,10,3,LaplacianScore+diag-GMM,0.752154168739621,0.7059832998588199,0.04788747299971874,10,0.9,0.9975510204081632,0.9376190476190477,9,1,True,3,ok,
1.0,20,200,500,10,3,LaplacianScore+diag-GMM,0.7326378897425847,0.7248290318857976,0.06319141799940553,10,0.8,0.9955102040816326,0.8767307692307692,8,2,True,6,ok,
1.5,1,200,500,10,3,LaplacianScore+diag-GMM,0.9115955302336469,0.8710336105318536,0.03972577800050203,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,2,200,500,10,3,LaplacianScore+diag-GMM,0.9697766425713032,0.9526186802811253,0.0376811109999835,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,3,200,500,10,3,LaplacianScore+diag-GMM,0.925912963640537,0.8882403441378354,0.04688609000004362,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,4,200,500,10,3,LaplacianScore+diag-GMM,0.9552296129975024,0.9353435853965594,0.043417798000518815,10,1.0,1.0,0.9999999999999999,10,0,True,4,ok,
1.5,5,200,500,10,3,LaplacianScore+diag-GMM,0.940453056780965,0.9055219966618455,0.03890522499932558,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,6,200,500,10,3,LaplacianScore+diag-GMM,0.9848865697285946,0.9763112474994169,0.03611998099950142,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
1.5,7,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.034802361000402016,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
1.5,8,200,500,10,3,LaplacianScore+diag-GMM,0.9700015680998493,0.9526893130045085,0.038620260000243434,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,9,200,500,10,3,LaplacianScore+diag-GMM,0.9551142484420667,0.9290706412471393,0.0390102970013686,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,10,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03409963099875313,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
1.5,11,200,500,10,3,LaplacianScore+diag-GMM,0.9697766425713032,0.9526186802811253,0.053908181998849614,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
1.5,12,200,500,10,3,LaplacianScore+diag-GMM,0.9700015680998493,0.9526893130045085,0.04556079400026647,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,13,200,500,10,3,LaplacianScore+diag-GMM,0.9700015680998493,0.9526893130045088,0.03645676999985881,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
1.5,14,200,500,10,3,LaplacianScore+diag-GMM,0.9261345169992886,0.8883164408060101,0.0343666070002655,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
1.5,15,200,500,10,3,LaplacianScore+diag-GMM,0.9549009183399902,0.9352298500881115,0.03889381999942998,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,16,200,500,10,3,LaplacianScore+diag-GMM,0.940453056780965,0.9055219966618455,0.044356393000271055,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,17,200,500,10,3,LaplacianScore+diag-GMM,0.9413667012860691,0.9205874404659036,0.04575065500102937,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
1.5,18,200,500,10,3,LaplacianScore+diag-GMM,0.9850007840499246,0.9763449138590041,0.03733576500053459,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
1.5,19,200,500,10,3,LaplacianScore+diag-GMM,0.9409167448762319,0.9204456716286198,0.03584742499879212,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
1.5,20,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03275573600149073,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,1,200,500,10,3,LaplacianScore+diag-GMM,0.9556841346929592,0.9354825793985271,0.03916495299927192,10,1.0,1.0,0.9999999999999999,10,0,True,3,ok,
2.0,2,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.04162571699998807,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,3,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03757253799994942,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,4,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03213586099991517,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,5,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.033080052000514115,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,6,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.036101149999012705,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,7,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03684724499908043,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,8,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03658070599885832,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,9,200,500,10,3,LaplacianScore+diag-GMM,0.9850007840499246,0.9763449138590041,0.034853389999625506,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,10,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03459282699986943,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,11,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03797266999936255,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,12,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.041518645999531145,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,13,200,500,10,3,LaplacianScore+diag-GMM,0.9848865697285946,0.9763112474994169,0.04287541400117334,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,14,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03452684900003078,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,15,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.033609105999858,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,16,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03456370200001402,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,17,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.047102626000196324,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,18,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.037827318999916315,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
2.0,19,200,500,10,3,LaplacianScore+diag-GMM,1.0,1.0,0.03713571799926285,10,1.0,1.0,0.9999999999999999,10,0,True,2,ok,
