seed,method,ari,nmi
1,K-means,0.8974949815093207,0.8758935341223069
1,diag-GMM,0.9150207134605749,0.8924507952192758
2,K-means,0.8974949815093207,0.8758935341223069
2,diag-GMM,0.9150207134605749,0.8924507952192758
3,K-means,0.8974949815093207,0.8758935341223069
3,diag-GMM,0.9150207134605749,0.8924507952192758
4,K-means,0.8974949815093207,0.8758935341223069
4,diag-GMM,0.9150207134605749,0.8924507952192758
5,K-means,0.8974949815093207,0.8758935341223069
5,diag-GMM,0.9150207134605749,0.8924507952192758
